wavelength (nm),irradiance_mar25_mar29 (W/m^2/nm),irradiance_mar30_apr04 (W/m^2/nm),irradiance_apr10_apr16 (W/m^2/nm),source (1: TIMED XPS, 2: Rocket EVE, 3: TIMED EGS, 4: SORCE SOLSTICE, 5: SORCE SIM, -1: fill)
12.35,1.1364E-5,1.1364E-5,7.9802E-6,2
12.45,6.718E-6,6.718E-6,4.8096E-6,2
12.55,5.1017E-6,5.1017E-6,3.6364E-6,2
12.65,4.2897E-6,4.2897E-6,3.0047E-6,2
12.75,9.0934E-6,9.0934E-6,6.6427E-6,2
12.85,7.514E-6,7.514E-6,5.2276E-6,2
12.95,1.0904E-5,1.0904E-5,7.9133E-6,2
13.05,1.6538E-5,1.6538E-5,1.2218E-5,2
13.15,1.8623E-5,1.8623E-5,1.3697E-5,2
13.25,8.0461E-6,8.0461E-6,5.7496E-6,2
13.35,8.66E-6,8.66E-6,6.2117E-6,2
13.45,9.1045E-6,9.1045E-6,6.237E-6,2
13.55,6.3187E-6,6.3187E-6,4.6184E-6,2
13.65,8.6488E-6,8.6488E-6,6.3897E-6,2
13.75,7.8333E-6,7.8333E-6,5.7392E-6,2
13.85,8.3614E-6,8.3614E-6,6.1325E-6,2
13.95,8.1205E-6,8.1205E-6,5.9454E-6,2
14.05,1.1418E-5,1.1418E-5,8.1979E-6,2
14.15,9.1581E-6,9.1581E-6,6.4121E-6,2
14.25,7.1337E-6,7.1337E-6,5.2372E-6,2
14.35,1.1464E-5,1.1464E-5,8.471E-6,2
14.45,2.5189E-5,2.5189E-5,1.7642E-5,2
14.55,2.2275E-5,2.2275E-5,1.6185E-5,2
14.65,1.2741E-5,1.2741E-5,9.368E-6,2
14.75,1.926E-5,1.926E-5,1.4107E-5,2
14.85,5.4187E-5,5.4187E-5,3.9451E-5,2
14.95,2.3636E-5,2.3636E-5,1.723E-5,2
15.05,2.5727E-5,2.5727E-5,1.8928E-5,2
15.15,1.7972E-5,1.7972E-5,1.3195E-5,2
15.25,1.8246E-5,1.8246E-5,1.3138E-5,2
15.35,9.004E-6,9.004E-6,6.4899E-6,2
15.45,1.1834E-5,1.1834E-5,8.5101E-6,2
15.55,7.1359E-6,7.1359E-6,5.2172E-6,2
15.65,5.8491E-6,5.8491E-6,4.2952E-6,2
15.75,9.8487E-6,9.8487E-6,7.2354E-6,2
15.85,1.6646E-5,1.6646E-5,1.2235E-5,2
15.95,1.2441E-5,1.2441E-5,9.158E-6,2
16.05,1.1911E-5,1.1911E-5,8.7608E-6,2
16.15,5.2295E-6,5.2295E-6,3.8455E-6,2
16.25,7.7148E-6,7.7148E-6,5.6796E-6,2
16.35,4.9454E-6,4.9454E-6,3.6433E-6,2
16.45,6.9623E-6,6.9623E-6,5.1125E-6,2
16.55,1.1392E-5,1.1392E-5,8.3787E-6,2
16.65,1.0575E-5,1.0575E-5,7.7636E-6,2
16.75,6.6961E-5,6.6961E-5,4.9536E-5,2
16.85,9.6661E-5,9.6661E-5,7.1661E-5,2
16.95,6.1351E-5,6.1351E-5,4.5119E-5,2
17.05,5.5208E-4,5.5208E-4,4.0681E-4,2
17.15,5.3412E-4,5.3412E-4,3.9458E-4,2
17.25,4.7673E-5,4.7673E-5,3.5198E-5,2
17.35,5.7922E-5,5.7922E-5,4.2572E-5,2
17.45,6.764E-4,6.764E-4,4.9647E-4,2
17.55,1.3049E-4,1.3049E-4,9.5706E-5,2
17.65,1.5327E-4,1.5327E-4,1.1251E-4,2
17.75,3.6227E-4,3.6227E-4,2.6518E-4,2
17.85,4.3907E-5,4.3907E-5,3.2004E-5,2
17.95,6.8292E-5,6.8292E-5,4.9588E-5,2
18.05,4.4647E-4,4.4647E-4,3.2503E-4,2
18.15,6.3162E-5,6.3162E-5,4.6303E-5,2
18.25,7.2908E-5,7.2908E-5,5.3084E-5,2
18.35,3.4635E-5,3.4635E-5,2.5413E-5,2
18.45,2.0136E-4,2.0136E-4,1.4698E-4,2
18.55,7.4693E-5,7.4693E-5,5.5156E-5,2
18.65,8.1841E-5,8.1841E-5,5.9258E-5,2
18.75,1.027E-4,1.027E-4,7.4261E-5,2
18.85,3.3315E-4,3.3315E-4,2.4144E-4,2
18.95,7.4129E-5,7.4129E-5,5.3855E-5,2
19.05,7.131E-5,7.131E-5,5.1609E-5,2
19.15,4.6444E-5,4.6444E-5,3.3364E-5,2
19.25,1.4355E-4,1.4355E-4,1.0437E-4,2
19.35,1.7793E-4,1.7793E-4,1.2819E-4,2
19.45,1.0681E-4,1.0681E-4,7.7945E-5,2
19.55,1.75E-4,1.75E-4,1.2616E-4,2
19.65,3.4901E-5,3.4901E-5,2.4985E-5,2
19.75,3.7087E-5,3.7087E-5,2.6985E-5,2
19.85,4.3289E-5,4.3289E-5,3.1458E-5,2
