source_id,ra_deg,dec_deg,paralaxe_mas,erro_paralaxe_mas,pmra_mas_ano,pmdec_mas_ano,vel_radial_km_s,G_mag,BP_RP
4594497838483177984,266.602694,27.713821,120.3979,0.2785,-259.3826,-671.0128,,9.5859,2.6112
4994877094997259264,0.548424,-43.168440,120.0143,0.0215,613.7853,-686.9892,,12.8952,0.3095
4594497769766809216,266.613214,27.717275,119.9248,0.1543,-312.0874,-773.1791,,3.2384,1.0220
4594497834189213184,266.602861,27.713737,119.8871,0.2055,-413.9744,-798.5163,,9.1850,2.6013
3713594960831605760,204.116079,3.674479,119.7566,0.0304,-3735.8392,-1113.5811,,14.3764,1.1484
2159844052779000064,275.603838,62.044994,119.7519,0.0341,-955.1017,-1235.6090,-15.04,11.8240,3.1591
2879455480942629248,355.781509,36.536310,119.5794,0.0563,941.8407,-151.2715,-3.85,11.1680,3.0106
2974726131970829952,75.617831,-21.257878,119.5737,0.0420,-166.8772,-269.1830,,7.7924,1.9057
5224460173763882496,174.527965,-77.360759,119.3419,0.0305,-2063.8288,616.5934,-18.74,12.8162,3.5884
2974726136265625088,75.617766,-21.257639,118.8250,0.0795,-111.6557,-235.8334,,9.6368,1.8891
2202703050401536000,327.916360,59.292930,118.1551,0.0155,-86.7423,-19.2367,,14.3731,1.0506
1534011998572555776,188.431428,41.358777,118.0266,0.1530,-704.7021,292.1547,6.15,4.0947,0.7945
3377365057060447616,96.174689,23.430779,117.7263,0.0278,550.9179,-508.3329,-11.37,11.6625,2.9602
6021430250773733632,245.009351,-37.525410,117.6791,0.1071,-681.2791,1049.9506,,12.8980,3.5019
6021430250773348736,245.010422,-37.524610,117.4716,0.0291,-748.0394,988.1035,27.96,9.4954,2.4885
5639391810273308416,130.379501,-32.936495,117.3961,0.0205,-1061.1577,1345.8999,,11.8224,0.2304
3507879565090229888,199.596298,-18.315922,117.1726,0.1456,-1070.2016,-1063.8487,-7.86,4.5325,0.8984
2611561706216413696,343.483564,-6.784830,117.1388,0.0341,2485.7988,-681.2536,,15.4212,1.4202
3705324881045028992,195.135475,5.686567,117.0327,0.0613,-940.6305,227.7496,-27.49,11.7729,3.1875
6378584028690858496,343.921471,-75.463377,116.3134,0.0168,-1026.2025,-1059.4067,65.52,9.2928,2.4678
3179036008830848,48.353258,4.775200,116.2678,0.0427,1741.8746,86.4944,28.16,12.1014,3.3437
4900108950849461248,5.035610,-64.869617,116.1826,0.1334,1706.7469,1164.9594,9.28,4.0735,0.7693
1165479168642900992,232.625560,9.434551,116.0425,0.0435,-178.8530,183.8980,2.79,13.0703,3.7051
5761985432616501376,133.398368,-3.493164,115.4876,0.0726,-516.6054,-199.6518,,15.8889,4.7583
2886233695250041216,91.217425,-34.558413,115.3982,0.0298,25.7867,343.0177,23.91,11.1121,3.4003
3464485826872541440,175.342350,-36.408215,115.0835,0.0359,485.0929,311.8038,9.89,11.5837,3.0471
3399063235755057792,88.594824,20.275852,114.9497,0.5280,-179.0135,-90.7299,-15.42,4.2417,0.7962
4365609170043180416,254.276048,-4.350649,114.9158,0.0252,481.6302,-376.2196,-4.18,10.9134,2.8371
4960651016012601856,24.841367,-39.603508,114.6040,0.0402,143.6343,-228.7843,28.01,12.5684,3.4674
2794735086363871360,9.071355,18.353410,114.4735,0.1381,901.5821,124.3537,,17.4956,4.5339
3101923001490347392,103.072784,-5.173728,114.3547,0.0418,-543.6903,-3.5153,-7.34,6.2311,1.2769
3101920046552857728,103.072601,-5.190070,114.2911,0.0219,-576.3311,-13.0438,-7.70,9.0975,2.3299
4031586157514097024,177.779082,35.273140,114.0854,0.0191,-273.1556,253.4040,-0.35,8.8540,2.1624
