tempo_s,strain_H1,strain_L1
-1.925049,5.821922e-19,-4.586436e-19
-1.924805,5.825047e-19,-4.787659e-19
-1.924561,5.463271e-19,-4.865159e-19
-1.924316,5.586911e-19,-4.663176e-19
-1.924072,5.829395e-19,-3.907677e-19
-1.923828,5.639835e-19,-3.324887e-19
-1.923584,5.512017e-19,-3.576830e-19
-1.923340,5.488538e-19,-4.175650e-19
-1.923096,5.641438e-19,-4.638496e-19
-1.922852,5.755283e-19,-4.848476e-19
-1.922607,5.394358e-19,-4.916766e-19
-1.922363,5.355293e-19,-4.755039e-19
-1.922119,5.663255e-19,-4.039047e-19
-1.921875,5.552449e-19,-3.407373e-19
-1.921631,5.398018e-19,-3.634140e-19
-1.921387,5.343547e-19,-4.271259e-19
-1.921143,5.424222e-19,-4.739131e-19
-1.920898,5.629500e-19,-4.948081e-19
-1.920654,5.350922e-19,-5.001957e-19
-1.920410,5.114396e-19,-4.885768e-19
-1.920166,5.419351e-19,-4.225645e-19
-1.919922,5.433217e-19,-3.551919e-19
-1.919678,5.210408e-19,-3.771126e-19
-1.919434,5.155737e-19,-4.448188e-19
-1.919189,5.166262e-19,-4.902837e-19
-1.918945,5.384144e-19,-5.083221e-19
-1.918701,5.258399e-19,-5.152419e-19
-1.918457,4.878121e-19,-5.049432e-19
-1.918213,5.145105e-19,-4.438370e-19
-1.917969,5.267253e-19,-3.759692e-19
-1.917725,4.997024e-19,-3.919215e-19
-1.917480,4.975321e-19,-4.641750e-19
-1.917236,4.896437e-19,-5.109857e-19
-1.916992,5.051967e-19,-5.278692e-19
-1.916748,5.104702e-19,-5.350972e-19
-1.916504,4.653356e-19,-5.254601e-19
-1.916260,4.765712e-19,-4.709408e-19
-1.916016,5.039960e-19,-4.013253e-19
-1.915771,4.774345e-19,-4.125873e-19
-1.915527,4.665058e-19,-4.867262e-19
-1.915283,4.640824e-19,-5.343681e-19
-1.915039,4.693710e-19,-5.499166e-19
-1.914795,4.854357e-19,-5.563691e-19
-1.914551,4.483929e-19,-5.493551e-19
-1.914307,4.326990e-19,-5.009373e-19
-1.914062,4.731566e-19,-4.335622e-19
-1.913818,4.545948e-19,-4.381793e-19
-1.913574,4.292137e-19,-5.151799e-19
-1.913330,4.370151e-19,-5.672358e-19
-1.913086,4.304192e-19,-5.760431e-19
-1.912842,4.487433e-19,-5.830081e-19
-1.912598,4.303002e-19,-5.779510e-19
-1.912354,3.920228e-19,-5.317647e-19
-1.912109,4.303081e-19,-4.678983e-19
-1.911865,4.313958e-19,-4.689465e-19
-1.911621,3.933720e-19,-5.434243e-19
-1.911377,4.025205e-19,-5.974776e-19
-1.911133,3.955858e-19,-6.074921e-19
-1.910889,4.030494e-19,-6.142168e-19
