supernova,z_CMB,modulo_distancia_mu,erro_mu
1306785,0.57535,42.1912,0.4529
05D2dt,0.57583,42.5915,0.2132
050203,0.57609,42.4887,0.2021
06D3et,0.57661,42.4263,0.1668
1337228,0.57741,42.6450,0.2909
03D4gf,0.57829,42.4174,0.2449
110721,0.57823,42.4512,0.2412
05D1dx,0.57875,42.4272,0.2144
1332059,0.57884,42.5317,0.2317
05D3jq,0.57959,42.3923,0.2312
05D3gp,0.58060,42.5730,0.2625
03D1aw,0.58073,42.7061,0.2398
04D1jg,0.58294,42.5408,0.1680
05D4ej,0.58328,42.7974,0.1862
04D1kj,0.58375,42.4765,0.1985
04D1sa,0.58375,42.6489,0.1848
1338387,0.58382,42.4199,0.1994
05D1hm,0.58575,42.7070,0.3730
05D4bf,0.58728,42.6241,0.2030
04D1oh,0.58873,42.5021,0.2200
03D4gg,0.59028,42.5156,0.2483
04D2mh,0.59184,42.4508,0.2558
05D3lr,0.60060,42.6116,0.2788
1338233,0.60149,42.7562,0.3948
05D4ef,0.60327,42.7503,0.2001
1335564,0.60620,42.6158,0.2751
03D4dy,0.60826,42.5904,0.2284
1302141,0.60880,42.4282,0.3503
1332413,0.60873,42.6179,0.2308
05D2he,0.60987,42.6876,0.3215
04D3do,0.61064,42.6686,0.1842
04D4an,0.61125,42.9049,0.2477
1295305,0.61171,42.7010,0.1644
05D1ck,0.61571,42.7085,0.3473
1308957,0.61869,42.7164,0.3888
1335868,0.61942,42.6948,0.2753
000202,0.61988,42.7557,0.1549
04D3co,0.62063,42.6988,0.2681
04D2an,0.62188,42.5894,0.2756
03D4dh,0.62523,42.6577,0.2151
04D4fx,0.62723,42.5850,0.2440
05D1cb,0.63071,42.6632,0.2029
05D2ci,0.63189,42.3111,0.3270
03D4at,0.63223,42.8493,0.3237
1330642,0.63392,42.5972,0.1476
04D1pu,0.63771,42.5298,0.4429
1343871,0.63787,42.8637,0.3108
05D4ag,0.63823,42.6594,0.3675
1337325,0.63866,42.7804,0.2616
1334879,0.63936,42.7900,0.1718
05D2ec,0.64190,42.8476,0.2569
1308568,0.64305,42.3609,0.4078
04D3cy,0.64364,42.7992,0.3098
05D3ax,0.64363,42.8034,0.3165
05D3lb,0.64763,42.8190,0.2884
1338266,0.64846,43.0397,0.2724
05D3kt,0.64863,42.7335,0.3107
1334707,0.64964,42.7805,0.1496
04D1sk,0.66207,42.9793,0.2798
05D3hs,0.66463,42.8698,0.2340
05D3mh,0.67065,43.0677,0.2748
03D1co,0.67767,43.2251,0.3118
05D2bt,0.68195,42.8376,0.2394
06D3cc,0.68365,43.1716,0.4077
04D4ic,0.68517,43.0166,0.3662
05D1ke,0.68867,42.8137,0.2265
1262715,0.68937,42.8535,0.1568
1262214,0.68937,43.0444,0.2720
06D3em,0.69065,42.9143,0.4259
03D4cz,0.69316,42.9162,0.3180
04D4ib,0.69716,42.9692,0.2127
06D4ba,0.69816,42.9671,0.3428
05D4bj,0.69916,42.9402,0.3385
05D4cq,0.69916,43.0691,0.2153
1335718,0.69933,43.1107,0.1559
05D2ck,0.69997,43.1147,0.2954
04D1si,0.70064,42.9170,0.2232
04D4hu,0.70115,43.0968,0.2616
04D2iu,0.70197,42.8962,0.4627
05D2le,0.70198,43.0433,0.2528
05D3gv,0.71565,42.9944,0.2459
05D3jh,0.71867,42.8739,0.1884
1331993,0.71962,43.1638,0.2045
04D1aj,0.71964,42.9700,0.3422
05D4ev,0.72013,43.1612,0.2432
06D3gh,0.72067,43.0459,0.3052
06D3do,0.72667,43.0811,0.2484
06D3bz,0.72767,43.0080,0.2571
1304127,0.72861,43.0050,0.2835
06D4bw,0.73012,42.9186,0.3220
1329166,0.73163,43.1799,0.1964
04D1pp,0.73362,42.9845,0.1959
04D2gp,0.73400,43.2200,0.3883
05D2fq,0.73501,43.2537,0.2246
05D1eo,0.73562,43.1807,0.2571
05D2ct,0.73602,43.1675,0.4256
05D3jk,0.73668,42.9920,0.2149
04D2ja,0.74202,43.4813,0.3251
04D3fq,0.74269,43.0825,0.3272
05D3jb,0.74566,43.1675,0.1952
04D2kr,0.74613,42.9817,0.2547
04D4im,0.74910,42.9396,0.2625
1285160,0.74932,43.1772,0.1632
04D3ks,0.75068,42.9012,0.3187
05D2nt,0.75904,43.2469,0.2332
05D3mn,0.76069,43.0667,0.2012
05D4cn,0.76108,43.1767,0.2366
05D1if,0.76159,43.1310,0.2399
04D1qd,0.76560,43.2369,0.2254
04D1de,0.76660,43.4224,0.2502
05D3hh,0.76668,43.3623,0.2702
04D4id,0.76707,43.5587,0.2571
04D1pc,0.76860,43.2929,0.3117
1329196,0.76933,43.2168,0.1627
05D4bi,0.77308,43.3568,0.2951
1325358,0.77931,43.0395,0.3111
05D4cs,0.78806,43.3042,0.2320
03D4fd,0.78905,43.3837,0.2712
1309749,0.78929,43.1995,0.1656
04D1ks,0.79656,42.9026,0.3721
03D1fq,0.79858,43.4338,0.2881
Elvis,0.83973,43.3600,0.2118
Spock,0.83973,43.2012,0.3904
Manipogo,0.85474,43.6168,0.2999
Vilas,0.93577,43.5331,0.2399
Ombo,0.97424,44.1111,0.2015
SCP05D0,1.01236,44.1177,0.3671
Eagle,1.01980,44.2757,0.2259
Ferguson,1.02081,43.9706,0.4755
Strolger,1.02781,44.5364,0.3534
SCP06U4,1.04819,44.4229,0.4888
Gabi,1.12085,44.4405,0.2236
SCP06H5,1.23223,44.3207,0.6105
Lancaster,1.23589,44.9050,0.2737
Aphrodite,1.29912,44.8641,0.2753
Thoth,1.30412,44.7206,0.3165
Inanna,1.30612,45.0197,0.4452
SCP05D6,1.31311,44.7867,0.3163
washington,1.32911,44.8745,0.2383
Borg,1.34093,44.7541,0.3064
SCP06G4,1.35134,44.5492,0.3185
Mcguire,1.35610,44.8094,0.2383
Sasquatch,1.39096,44.7944,0.3743
SCP06K0,1.41631,44.4579,0.7358
carter,1.54295,45.0902,0.3710
Primo,1.54903,45.2930,0.2338
