supernova,z_CMB,modulo_distancia_mu,erro_mu
2009al,0.02328,34.9851,0.2826
2009al,0.02328,35.0081,0.2217
2009al,0.02328,34.9783,0.2254
2009cz,0.02315,34.8582,0.2603
2009cz,0.02315,34.8582,0.1706
ASASSN-15nr,0.02309,34.8331,0.2638
2004bk,0.02405,34.8391,0.2159
2018enc,0.02450,34.9998,0.2177
2007qe,0.02280,35.0406,0.2066
2007qe,0.02280,34.9509,0.2591
ATLAS17bas,0.02331,34.5715,0.2617
ASASSN-15tz,0.02220,34.9543,0.2740
2010ao,0.02422,34.9430,0.2098
2006sr,0.02307,34.9949,0.1808
ASASSN-15jt,0.02396,34.8890,0.4037
ASASSN-16em,0.02296,34.9940,0.2774
2000ca,0.02454,34.8993,0.1903
1998eg,0.02358,35.1018,0.1950
PS1-14xw,0.02436,35.1049,0.3103
2010gp,0.02436,34.4711,0.3985
2000bh,0.02421,34.8782,0.2241
2007F,0.02420,34.9421,0.2083
2007F,0.02420,35.0840,0.1836
1993H,0.02450,35.1803,0.2323
AT2016bln,0.02425,35.0771,0.1954
2006ac,0.02395,34.9871,0.1841
2006ac,0.02395,34.9530,0.1981
ASASSN-15sf,0.02349,35.2317,0.2352
2005bg,0.02414,35.0102,0.2019
2009D,0.02476,35.0080,0.1620
2009D,0.02476,35.0746,0.2100
2009D,0.02476,34.9493,0.1709
PS16ccn,0.02395,35.1784,0.1891
2008bf,0.02451,35.1061,0.2356
2008bf,0.02451,35.0521,0.2313
2008bf,0.02451,34.8898,0.2340
1994M,0.02426,34.9528,0.2138
2004br,0.02426,34.8070,0.1825
ASASSN-16hz,0.02406,34.8112,0.3176
2003he,0.02404,35.0862,0.2405
2001cj,0.02491,35.1973,0.2285
Gaia16agf,0.02553,35.2152,0.2685
2007cq,0.02481,34.8369,0.2880
2007cq,0.02481,34.8482,0.1819
2003it,0.02413,35.0790,0.2060
2007cq,0.02481,35.0090,0.1769
AT2017cfc,0.02499,35.0276,0.1902
2011dn,0.02443,34.4583,0.3333
2007sw,0.02500,34.9117,0.3065
2012bh,0.02500,35.1989,0.2383
370356,0.02500,35.2277,0.2044
2002he,0.02469,35.1139,0.1553
2002he,0.02469,35.1145,0.1748
2018jjd,0.02547,34.9842,0.1853
2002bf,0.02494,34.9441,0.2407
2002bf,0.02494,34.9063,0.2691
ASASSN-16bq,0.02582,35.1882,0.1767
PS15ahs,0.02522,35.1974,0.1859
PSNJ0153424,0.02474,35.1828,0.2337
SN2017hn,0.02492,35.0621,0.1902
1992ag,0.02592,34.7664,0.3447
SN2017ms,0.02538,35.1181,0.2002
