planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
HD 73256 c,HD 73256,3.80000,12.200,5570,0.73794,36.71
HD 149143 b,HD 149143,0.05300,13.600,5856,2.2387,73.28
Kepler-48 d,Kepler-48,0.23302,2.040,5194,0.51374,306.74
WASP-48 b,WASP-48,0.03444,16.814,5920,3.803,454.14
Kepler-18 d,Kepler-18,0.11720,6.980,5345,0.93111,433.05
TOI-4443.01,TOI-4443,0.02996,1.719,5834,1.0802,56.07
TOI-3856 b,TOI-3856,0.03250,13.596,5622,1.002,314.44
Kepler-106 c,Kepler-106,0.10987,2.500,5858,1.2093,444.32
Kepler-957 b,Kepler-957,0.05590,5.500,4963,0.34013,824.69
Kepler-309 b,Kepler-309,0.05900,1.560,4713,0.26669,544.57
TOI-5734 b,TOI-5734,0.05921,2.100,4750,0.181,32.51
Kepler-1740 b,Kepler-1740,0.07790,3.323,5705,0.83288,1061.77
Kepler-176 d,Kepler-176,0.16300,2.510,5232,0.39421,527.32
TOI-1695 b,TOI-1695,0.03355,1.900,3690,0.0443,45.13
HATS-24 b,HATS-24,0.02380,15.637,6125,1.5488,494.18
K2-150 b,K2-150,0.07270,2.000,3499,0.026,102.48
HD 20868 b,HD 20868,0.95000,13.700,4802,0.2958,47.72
Kepler-1829 b,Kepler-1829,0.05590,2.479,5230,0.40369,679.92
HD 37124 c,HD 37124,1.71000,14.100,5699,0.77225,31.66
HD 67087 c,HD 67087,3.86000,12.900,6330,3.4674,76.52
Kepler-277 c,Kepler-277,0.21781,3.360,5946,3.6975,976.64
K2-116 b,K2-116,0.04800,0.690,4348,0.17931,49.39
Kepler-1350 b,Kepler-1350,0.04130,2.520,3827,0.052071,340.69
Kepler-995 b,Kepler-995,0.17010,2.700,5206,0.38091,609.64
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,200.00000,20.849,2320,0.0014125,
Kepler-1174 b,Kepler-1174,0.07320,1.590,5936,3.5918,1408.75
KOI-3503 c,KOI-3503,0.18688,1.210,6001,1.9955,887.06
Kepler-269 c,Kepler-269,0.08100,1.690,5847,2.3354,2257.32
TOI-6054.02,TOI-6054,0.10790,2.820,6047,3.33,79.41
TOI-5788 c,TOI-5788,0.11970,2.272,5615,0.712,97.61
Kepler-1719 b,Kepler-1719,0.06868,3.950,5687,3.3541,905.41
Kepler-122 b,Kepler-122,0.06400,2.340,6050,1.8618,1027.45
Kepler-607 b,Kepler-607,0.01370,0.870,5196,0.41503,519.12
Kepler-1981 b,Kepler-1981,1.32920,9.230,5874,1.7521,659.39
Kepler-430 b,Kepler-430,0.22440,3.250,5884,2.0515,917.48
Kepler-1229 b,Kepler-1229,0.30060,1.400,3784,0.029309,265.48
HD 37605 c,HD 37605,3.74000,13.100,5329,0.60256,46.79
TOI-1431 b,TOI-1431,0.04600,16.701,7690,11.7,148.93
NGTS-2 b,NGTS-2,0.06300,17.878,6478,4.2734,356.39
Kepler-1266 c,Kepler-1266,0.05060,1.680,4996,0.29515,849.31
TOI-7009 b,TOI-7009,0.02870,3.710,4080,0.12929,184.12
TOI-421 c,TOI-421,0.11700,5.090,5291,0.5398,74.80
Kepler-32 e,Kepler-32,0.03300,1.500,3900,0.051,323.85
Kepler-1555 b,Kepler-1555,0.08050,1.610,5866,2.4509,2013.27
Kepler-1725 b,Kepler-1725,0.13263,2.813,6020,1.5795,558.65
Kepler-155 c,Kepler-155,0.24200,2.240,4508,0.06166,293.50
HD 38529 c,HD 38529,3.22600,12.500,5697,6.8265,42.35
TOI-6716 b,TOI-6716,0.03190,0.982,3110,0.0047927,18.89
Kepler-163 c,Kepler-163,0.15200,2.260,5776,0.7278,689.81
Kepler-52 b,Kepler-52,0.06370,2.100,4075,0.101,321.54
Kepler-439 b,Kepler-439,0.56300,2.240,5431,0.58076,757.05
Kepler-1491 c,Kepler-1491,0.30450,2.440,5626,2.2631,2065.59
WASP-194 b,WASP-194,0.04700,15.480,6405,3.0309,476.83
HIP 67522 b,HIP 67522,0.07480,9.987,5675,1.75,127.28
Kepler-1758 b,Kepler-1758,0.09190,2.571,5557,3.058,1588.41
Kepler-1158 b,Kepler-1158,0.12643,2.340,6203,6.9236,1484.25
Kepler-311 b,Kepler-311,0.08700,1.700,5905,1.5606,778.65
Kepler-1956 b,Kepler-1956,0.05630,1.089,4391,0.090132,360.47
Kepler-402 e,Kepler-402,0.10200,1.460,6090,1.5977,625.34
Kepler-565 b,Kepler-565,0.05010,3.640,5735,0.88085,1041.00
Kepler-750 b,Kepler-750,0.08742,3.070,6160,2.2065,1296.02
TOI-1272 b,TOI-1272,0.04100,4.260,4985,0.3424,137.57
Kepler-238 e,Kepler-238,0.17286,5.600,5800,2.6945,1798.75
Kepler-1255 b,Kepler-1255,0.22260,2.320,6018,2.0289,1617.07
Kepler-352 c,Kepler-352,0.11800,1.240,5212,0.36953,252.73
Kepler-1742 b,Kepler-1742,0.25870,2.178,5776,0.655,669.57
Kepler-127 b,Kepler-127,0.12500,1.400,6106,2.5498,352.79
HIP 111909 c,HIP 111909,1.97000,13.900,4891,10.471,88.08
Kepler-568 b,Kepler-568,0.07940,2.260,3768,0.046732,130.65
Kepler-1611 b,Kepler-1611,0.05860,0.810,5605,0.7709,908.44
Kepler-1923 b,Kepler-1923,0.28460,1.960,5881,1.8072,990.84
HD 63765 b,HD 63765,0.94000,14.200,5449,0.55403,32.54
Kepler-896 b,Kepler-896,0.56378,2.530,5262,3.0303,2334.93
Kepler-1208 b,Kepler-1208,0.09010,2.320,5001,0.27958,825.18
Kepler-499 b,Kepler-499,0.05980,2.170,5312,0.52579,556.73
HD 62549 b,HD 62549,11.84200,12.600,5930,1.6922,49.33
Kepler-155 b,Kepler-155,0.05600,2.090,4508,0.06166,293.50
HD 111591 b,HD 111591,2.50000,12.900,4884,38.07,114.17
Kepler-45 b,Kepler-45,0.03000,10.760,3820,0.053001,381.95
Kepler-406 c,Kepler-406,0.05531,0.850,5538,1.1174,364.03
GJ 3090 c,GJ 3090,0.09970,3.140,3707,0.0455,22.48
ups And c,ups And,0.82777,12.300,6157,3.3528,13.41
Kepler-93 b,Kepler-93,0.05343,1.478,5669,0.78406,95.91
TOI-3464 b,TOI-3464,0.05150,13.765,6370,3.62,597.77
HAT-P-17 c,HAT-P-17,5.60000,13.100,5337,0.51413,92.38
K2-5 b,K2-5,0.05320,1.910,3930,0.082526,202.94
Kepler-596 b,Kepler-596,0.15161,3.460,6267,2.0628,1023.85
Kepler-1757 b,Kepler-1757,0.13350,2.947,5288,0.42716,807.31
K2-174 b,K2-174,0.12600,2.600,4455,0.16878,99.93
TOI-2267 b,TOI-2267 A,0.02050,1.000,3030,0.0033,22.55
TOI-756 c,TOI-756,0.43900,13.000,3657,0.041,86.18
K2-274 b,K2-274,0.09640,2.080,5044,0.30972,228.33
Kepler-415 b,Kepler-415,0.04260,1.210,4362,0.15666,530.49
Kepler-1686 b,Kepler-1686,0.08827,1.426,5715,1.3828,729.82
Kepler-85 b,Kepler-85,0.07885,1.778,5505,0.61334,765.02
TOI-3593 b,TOI-3593,0.04810,11.030,5550,0.722,226.63
Kepler-263 c,Kepler-263,0.24200,2.470,5265,0.34983,754.75
HAT-P-30 b,HAT-P-30,0.04190,16.141,6304,2.0512,213.99
K2-324 b,K2-324,0.03310,2.430,3752,0.046446,136.67
TOI-178 g,TOI-178,0.12750,2.939,4316,0.136,62.70
Kepler-403 d,Kepler-403,0.12178,1.420,6209,4.4061,840.27
TOI-954 b,TOI-954,0.04963,9.550,5710,3.43,238.77
HD 213519 b,HD 213519,0.09900,2.990,5840,1.2289,41.00
Kepler-725 c,Kepler-725,0.67440,3.080,5395,0.48636,758.47
Kepler-378 b,Kepler-378,0.11200,0.750,4661,0.22111,152.09
Kepler-82 d,Kepler-82,0.03400,1.770,5428,0.65303,904.33
TOI-1752 b,TOI-1752,0.01624,1.693,3762,0.0505,103.02
K2-317 b,K2-317,0.05420,2.930,3387,0.013469,176.29
Kepler-1375 b,Kepler-1375,0.04710,1.740,6704,6.6449,1430.84
WASP-29 b,WASP-29,0.04570,8.631,4800,0.29848,87.60
Kepler-1476 b,Kepler-1476,0.09320,1.670,5663,0.57161,1002.74
Kepler-883 b,Kepler-883,0.10288,1.780,6116,1.9755,627.46
TOI-1820 b,TOI-1820,0.06100,12.778,5734,1.9693,248.50
Kepler-1220 b,Kepler-1220,0.07340,1.520,5842,1.0588,961.91
Kepler-1284 b,Kepler-1284,0.01430,1.210,5123,0.40255,882.32
HD 4760 b,HD 4760,1.14000,12.300,4076,851.14,537.87
Kepler-1425 b,Kepler-1425,0.11435,0.940,5718,2.4982,863.87
TOI-2497 b,TOI-2497,0.11660,11.142,7360,14.7,285.29
HD 240210 b,HD 240210,1.16000,12.800,4297,35.481,372.40
TOI-3362 b,TOI-3362,0.15300,12.801,6532,5.48,366.99
Kepler-146 b,Kepler-146,0.20000,3.710,5948,1.4059,716.80
HIP 113103 c,HIP 113103,0.10479,2.400,4930,0.26528,46.21
TOI-1080 b,TOI-1080,0.02720,1.200,3065,0.00324,25.56
WASP-32 b,WASP-32,0.03940,10.761,6140,1.5612,275.99
Kepler-192 d,Kepler-192,0.06860,1.020,5487,0.80484,651.67
Kepler-1488 b,Kepler-1488,0.24153,1.860,5820,3.8679,905.83
BD+14 4559 b,BD+14 4559,0.78000,13.800,4864,0.47863,49.35
TOI-2977 b,TOI-2977,0.03386,13.159,5691,1.089,
Kepler-1873 b,Kepler-1873,0.01280,1.626,5151,0.38948,820.96
Kepler-52 d,Kepler-52,0.18200,1.950,4263,0.101,321.54
K2-370 b,K2-370,0.03210,2.670,5662,0.7464,144.20
Kepler-829 b,Kepler-829,0.06780,2.110,5698,1.0966,1073.76
HIP 29442 d,TOI-469,0.06730,1.538,5289,0.70923,68.19
nu Oct A b,nu Oct A,1.24000,13.300,4910,13.2,21.20
TOI-4010 d,TOI-4010,0.11300,6.180,4960,0.39847,177.50
Kepler-196 b,Kepler-196,0.13800,1.900,5128,0.40498,451.31
Kepler-131 b,Kepler-131,0.12789,2.410,5685,1.0517,228.68
Kepler-179 b,Kepler-179,0.03600,1.640,5302,0.52765,605.68
Kepler-1745 b,Kepler-1745,0.04080,1.929,5611,1.0151,996.11
Kepler-251 c,Kepler-251,0.12200,2.770,5526,0.67302,924.62
Kepler-806 b,Kepler-806,0.07684,1.140,5770,2.5501,361.90
HD 38529 b,HD 38529,0.11500,14.100,5697,6.8265,42.35
Kepler-200 c,Kepler-200,0.09000,1.590,5678,1.0181,665.91
Kepler-1854 b,Kepler-1854,0.20894,2.587,5026,0.33189,423.35
WASP-158 b,WASP-158,0.05170,11.994,6350,3.0435,524.99
HAT-P-17 b,HAT-P-17,0.08920,11.769,5246,0.51413,92.38
Kepler-438 b,Kepler-438,0.16600,1.120,3748,0.043954,195.94
TIC 139270665 c,TIC 139270665,2.00000,12.900,5844,1.077,189.88
HD 175541 b,HD 175541,0.97500,14.100,5013,8.5901,129.60
Kepler-1266 b,Kepler-1266,0.16431,2.580,5044,0.29515,849.31
Kepler-255 b,Kepler-255,0.06300,1.550,5573,0.65598,1052.53
Kepler-1423 b,Kepler-1423,0.15860,1.060,4939,0.302,449.00
Kepler-1869 b,Kepler-1869,0.07976,1.120,5808,0.891,113.03
Kepler-1831 b,Kepler-1831,0.06550,1.970,6063,0.90053,1053.49
HD 219134 b,HD 219134,0.03876,1.602,4699,0.2646,6.53
TOI-6695 c,TOI-6695,0.83800,13.600,6400,3.47,282.54
Kepler-1797 b,Kepler-1797,0.16370,3.058,6244,1.153,1338.49
HIP 35173 b,HIP 35173,0.21700,3.610,4881,0.30592,33.16
Kepler-1894 b,Kepler-1894,0.03850,1.201,5772,0.53733,935.19
Kepler-1223 b,Kepler-1223,0.11860,1.220,4870,0.28746,459.96
K2-7 b,K2-7,0.18670,4.035,5700,2.24,738.55
Kepler-307 b,Kepler-307,0.09359,2.430,5367,0.75594,575.58
Kepler-755 c,Kepler-755,0.03700,1.260,5043,0.34943,399.03
HAT-P-22 b,HAT-P-22,0.04140,12.890,5302,0.76913,81.76
Kepler-268 b,Kepler-268,0.18000,2.550,6081,2.0801,851.87
Kepler-1775 b,Kepler-1775,0.39565,3.648,5818,1.7623,657.02
HAT-P-20 b,HAT-P-20,0.03610,9.718,4595,0.19011,71.04
Kepler-607 c,Kepler-607,0.21507,2.760,5244,0.41503,519.12
Kepler-730 b,Kepler-730,0.06940,12.330,5620,1.7217,1935.04
Kepler-907 b,Kepler-907,0.12250,1.200,6106,2.3878,352.00
Kepler-318 c,Kepler-318,0.10500,3.680,5746,1.0091,489.14
Kepler-823 b,Kepler-823,0.05070,1.570,5643,2.1652,1389.27
HD 75302 b,HD 75302,5.30000,12.800,5697,0.84045,30.33
TOI-540 b,TOI-540,0.01223,0.903,3216,0.00346,14.00
Kepler-225 b,Kepler-225,0.05600,1.200,3682,0.101,561.10
GJ 3323 c,GJ 3323,0.12640,1.320,3159,0.0027,5.37
K2-13 b,K2-13,0.21140,1.890,5698,0.73225,342.39
Kepler-647 c,Kepler-647,0.18291,4.001,5907,2.6202,1087.87
HD 24085 b,HD 24085,0.03400,3.460,6034,2.383,54.90
TOI-1136 f,TOI-1136,0.17400,3.736,5770,0.94,84.54
K2-360 c,EPIC 201595106,0.08830,4.020,5679,0.893,232.10
TOI-1468 c,TOI-1468,0.08608,2.126,3376,0.01614,24.74
Kepler-314 b,Kepler-314,0.03500,0.830,5378,0.59472,268.88
Kepler-1184 b,Kepler-1184,0.28630,2.680,5983,1.1623,1157.84
TOI-1438 c,TOI-1438,0.08300,2.750,5230,0.45,110.51
HD 155193 b,HD 155193,1.04000,14.000,6239,4.3762,57.80
Kepler-10 d,Kepler-10,0.53790,3.490,5708,1.1341,185.51
TOI-6041 c,TOI-6041,0.37210,10.500,5445,0.613,72.47
HIP 97233 b,HIP 97233,2.49100,12.100,5020,15.996,102.28
GJ 9827 d,GJ 9827,0.05300,1.980,4236,0.099001,29.66
HD 107148 c,HD 107148,0.14070,4.700,5753,1.3207,49.42
Kepler-502 b,Kepler-502,0.05350,4.770,6125,2.234,1591.04
Kepler-1871 b,Kepler-1871,0.03080,2.422,5741,1.0068,854.62
HIP 67522 c,HIP 67522,0.12280,7.936,5675,1.75,127.28
Kepler-1235 b,Kepler-1235,0.04836,0.790,5541,0.69783,540.60
Kepler-1625 b,Kepler-1625,0.87762,6.060,5677,2.735,2310.11
K2-158 b,K2-158,0.08870,2.640,5503,0.6871,197.30
Kepler-302 c,Kepler-302,0.50300,12.450,5740,1.1207,1402.58
TOI-1669 c,TOI-1669,0.03760,2.296,5497,0.921,111.28
WASP-39 b,WASP-39,0.04828,14.336,5485,0.74487,213.98
Kepler-69 b,Kepler-69,0.09400,2.240,5638,0.79983,730.62
Kepler-120 b,Kepler-120,0.05500,2.150,4096,0.21037,388.63
WASP-153 b,WASP-153,0.04800,17.374,5914,2.8812,610.18
Kepler-341 e,Kepler-341,0.24200,1.990,6012,1.3403,1047.03
Kepler-627 b,Kepler-627,0.22661,3.730,6424,2.4288,984.31
TOI-778 b,TOI-778,0.06000,15.400,6643,5.76,161.74
55 Cnc d,55 Cnc,5.60000,13.000,5198,0.6354,12.59
Kepler-737 b,Kepler-737,0.14220,1.960,3813,0.049947,205.12
NGTS-13 b,NGTS-13,0.05490,12.801,5819,3.29,647.60
Kepler-1175 b,Kepler-1175,0.21810,2.990,5453,0.4573,1121.89
HD 130322 b,HD 130322,0.09250,13.700,5387,0.58151,31.88
K2-77 b,K2-77,0.07530,2.500,5160,0.401,141.73
Gl 49 b,Gl 49,0.09050,2.240,3805,0.04938,9.85
TOI-2416 b,TOI-2416,0.08310,9.864,5808,1.574,557.73
TOI-3523 A b,TOI-3523 A,0.03559,15.973,6450,3.27,645.29
Kepler-843 b,Kepler-843,0.03130,2.590,5830,0.89695,1165.66
Kepler-249 b,Kepler-249,0.03500,1.090,3568,0.032,190.40
TYC 1422-614-1 c,TYC 1422-614-1,1.37000,12.500,4806,22.387,672.41
GJ 2056 b,GJ 2056,0.28300,4.170,4070,0.12444,28.44
Kepler-1910 b,Kepler-1910,0.05360,1.184,4234,0.1183,
Kepler-1655 b,Kepler-1655,0.10290,2.213,6148,1.3904,213.26
HAT-P-11 b,HAT-P-11,0.05258,4.360,4653,0.27101,37.76
TOI-1442 b,TOI-1442,0.00710,1.170,3330,0.010539,41.17
HD 191939 g,HD 191939,0.81200,3.740,5348,0.64999,53.61
K2-358 b,K2-358,0.08630,2.680,5650,0.6897,480.31
Kepler-1237 b,Kepler-1237,0.37780,2.860,5472,0.5521,1064.31
HAT-P-38 b,HAT-P-38,0.05230,9.247,5330,0.61944,255.21
K2-55 b,K2-55,0.03486,4.430,4300,0.16432,159.52
HD 21693 c,HD 21693,0.25860,4.340,5430,0.62,33.26
TOI-7149 b,TOI-7149,0.02603,13.200,3363,0.01215,126.13
Kepler-852 b,Kepler-852,0.27967,2.540,6100,6.7143,1619.03
K2-357 b,K2-357,0.14500,3.720,5794,0.85975,517.69
TOI-3976 A b,TOI-3976 A,0.07430,12.274,5975,2.588,516.09
K2-232 b,K2-232,0.10356,11.209,6154,1.73,130.72
Kepler-1357 b,Kepler-1357,0.04100,1.280,5597,0.71524,1015.69
Kepler-132 e,Kepler-132,0.43927,1.180,6023,1.4355,349.55
LTT 9779 b,LTT 9779,0.01679,4.720,5443,0.68,80.44
TOI-763 b,TOI-763,0.06000,2.280,5450,0.70183,95.13
HATS-14 b,HATS-14,0.03815,11.646,5346,0.67183,513.01
Kepler-1320 b,Kepler-1320,0.01630,1.700,4817,0.18666,647.42
Kepler-1807 b,Kepler-1807,0.09880,2.704,6455,4.0045,1299.32
rho CrB e,rho CrB,0.10610,1.750,5817,1.706,17.47
Kepler-1613 b,Kepler-1613,0.02755,2.080,6005,4.3428,1508.33
HD 20794 b,HD 20794,0.12570,1.450,5368,0.68689,6.00
K2-277 b,K2-277,0.06640,2.186,5680,0.89,113.12
Kepler-1032 b,Kepler-1032,0.03610,1.870,4647,0.22107,673.01
TOI-5726.01,TOI-5726,0.06219,2.554,5874,1.3132,108.85
Wolf 327 b,Wolf 327,0.01000,1.240,3542,0.02345,28.53
GJ 3378 b,GJ 3378,0.09673,1.320,3340,0.0085,7.72
Kepler-62 f,Kepler-62,0.71800,1.410,4925,0.20989,300.87
Kepler-294 c,Kepler-294,0.07100,2.710,5913,0.71195,1357.01
Kepler-21 b,Kepler-21,0.04340,1.639,6305,5.188,108.52
HD 161178 b,HD 161178,0.85000,14.100,4786,56.36,107.19
Kepler-36 b,Kepler-36,0.11419,1.498,5979,3.2363,527.96
ups And b,ups And,0.05922,14.000,6157,3.3528,13.41
Kepler-42 d,Kepler-42,0.01540,0.570,3068,0.0023988,40.06
TOI-6478 b,TOI-6478,0.11360,4.600,3230,0.0057222,38.61
Kepler-125 b,Kepler-125,0.04100,2.370,3810,0.047,183.37
Kepler-1407 b,Kepler-1407,0.15020,2.250,6010,1.8677,1396.41
TOI-1246 b,TOI-1246,0.04900,3.010,5151,0.5,169.42
HD 16760 b,HD 16760,1.15600,12.100,5518,0.72,50.18
Kepler-167 e,Kepler-167,1.88300,10.160,4884,0.289,341.91
Kepler-471 b,Kepler-471,0.06260,14.960,6733,5.1306,1249.41
TOI-3837 b,TOI-3837,0.09900,10.873,5905,1.571,311.70
Kepler-1561 b,Kepler-1561,0.01940,1.090,5957,0.95403,839.08
Kepler-1338 b,Kepler-1338,0.01937,0.920,5909,1.7668,753.26
HD 143361 b,HD 143361,1.98800,12.900,5507,0.81001,68.51
WASP-59 b,WASP-59,0.06970,8.687,4650,0.16067,115.94
Kepler-1293 b,Kepler-1293,0.06763,0.970,6241,4.0166,1028.16
Kepler-59 c,Kepler-59,0.13114,1.980,6074,2.1074,1163.22
TOI-849 b,TOI-849,0.01550,3.640,5257,0.60478,225.73
Kepler-825 b,Kepler-825,0.04530,1.530,5976,1.3169,807.85
KELT-14 b,KELT-14,0.03005,19.537,5720,1.9,250.12
Kepler-339 d,Kepler-339,0.09100,1.170,5631,0.48616,616.64
Kepler-1280 b,Kepler-1280,0.33982,1.870,6227,4.7731,1486.70
Kepler-245 c,Kepler-245,0.12400,2.180,5100,0.40199,861.53
Kepler-1481 b,Kepler-1481,0.05900,1.230,4908,0.25907,459.08
TOI-1266 c,TOI-1266,0.10500,1.980,3563,0.02629,36.01
Kepler-1838 b,Kepler-1838,0.11082,1.660,5877,3.4414,451.24
K2-75 c,K2-75,0.14290,2.770,5995,2.2358,561.93
CoRoT-18 b,CoRoT-18,0.02950,14.680,5440,0.67608,764.89
HD 76920 b,HD 76920,1.09100,13.100,4664,29.5,184.03
KOI-351 d,KOI-351,0.32000,2.870,6080,1.8558,848.25
Kepler-1414 b,Kepler-1414,0.04260,1.230,4951,0.34368,570.84
alf Tau b,alf Tau,1.46000,12.700,4055,469.89,20.43
Kepler-178 c,Kepler-178,0.14200,2.880,5676,0.61975,716.02
Kepler-1731 b,Kepler-1731,0.13990,2.933,4859,0.25141,169.95
Kepler-710 b,Kepler-710,0.05240,1.880,5611,1.8397,1448.34
HD 219134 g,HD 219134,0.37530,3.280,4913,0.31,6.53
K2-5 c,K2-5,0.08180,2.260,3930,0.082526,202.94
Kepler-708 b,Kepler-708,0.04260,2.930,5692,1.0888,1394.22
HD 69123 b,HD 69123,2.48200,13.100,4842,29.51,75.12
WASP-54 b,WASP-54,0.04988,17.710,6100,3.7564,251.30
ROXs 42 B b,ROXs 42 B,157.00000,12.500,3433,0.1616,143.59
Kepler-398 b,Kepler-398,0.04400,0.930,4493,0.15452,177.35
Kepler-1018 b,Kepler-1018,0.25300,2.580,5518,0.82754,1010.01
TOI-4734 b,TOI-4734,0.07400,10.918,6070,4.21,563.07
K2-250 b,K2-250,0.04606,2.713,5003,0.359,414.71
TOI-2842 b,TOI-2842,0.04750,12.845,5910,1.76,461.00
HD 105779 b,HD 105779,3.38000,14.100,5792,0.77999,55.24
Kepler-1181 c,Kepler-1181,0.09280,1.830,6688,2.9678,938.42
TOI-836 b,TOI-836,0.04220,1.704,4552,0.14036,27.50
Kepler-31 b,Kepler-31,0.16000,5.500,6340,2.0014,1664.64
Kepler-633 c,Kepler-633,0.16246,2.296,5877,1.7219,680.54
K2-320 b,K2-320,0.01420,2.620,3157,0.0074943,108.74
HD 114386 c,HD 114386,1.05000,13.400,4895,0.2884,27.92
Kepler-1523 b,Kepler-1523,0.01867,1.580,5708,0.79627,865.60
GJ 463 b,GJ 463,3.53000,13.100,3563,0.029996,18.36
Kepler-1606 b,Kepler-1606,0.64210,2.070,5422,0.67453,831.29
GQ Lup b,GQ Lup,100.00000,33.600,4360,0.84647,151.17
HD 33564 b,HD 33564,1.10000,12.500,6250,3.428,20.95
Kepler-30 c,Kepler-30,0.30000,12.300,5498,0.57999,914.22
TOI-2886 b,TOI-2886,0.02871,18.641,6240,2.1,413.67
Kepler-62 c,Kepler-62,0.09290,0.540,4925,0.20989,300.87
Kepler-1016 c,Kepler-1016,0.43519,3.680,5821,1.3293,1402.82
HD 125612 c,HD 125612,0.05100,4.070,5900,1.1482,57.62
Kepler-1930 b,Kepler-1930,0.10233,1.530,5083,0.31228,275.69
Wolf 1061 d,Wolf 1061,0.47000,2.690,3342,0.0102,4.31
Kepler-270 c,Kepler-270,0.18000,1.770,6067,2.0517,948.78
Kepler-589 b,Kepler-589,0.11960,2.270,5296,0.4501,612.80
Kepler-1082 b,Kepler-1082,0.02571,1.120,5923,2.0616,739.56
Kepler-431 d,Kepler-431,0.10450,1.110,6004,3.1506,486.55
Kepler-11 e,Kepler-11,0.19500,4.190,5663,1.3189,646.35
Kepler-1824 b,Kepler-1824,0.42670,2.381,6002,1.4825,1040.10
WASP-170 b,WASP-170,0.03370,12.285,5600,0.77,305.60
K2-74 b,K2-74,0.14020,2.310,6060,1.147,377.82
K2-239 b,K2-239,0.04410,1.100,3420,0.016,31.08
Kepler-544 b,Kepler-544,0.15482,2.120,6206,3.3778,963.18
TOI-1246 d,TOI-1246,0.13200,3.431,5213,0.5,169.42
HD 39194 d,HD 39194,0.19490,2.120,5205,0.39,26.41
KOINTREAU-3 b,ISO-Oph 96,342.00000,13.100,3920,0.066056,140.56
Kepler-1326 b,Kepler-1326,0.27430,4.180,6725,3.334,698.33
HATS-9 b,HATS-9,0.03120,13.850,5599,2.0502,638.70
Kepler-1563 b,Kepler-1563,0.04420,0.750,5765,0.97679,616.70
Kepler-1721 b,Kepler-1721,0.05190,3.119,5351,0.39197,641.37
Kepler-256 e,Kepler-256,0.09600,2.350,5551,0.87277,1026.43
TOI-1184 b,TOI-1184,0.05603,2.390,4534,0.199,58.59
G 192-15 b,G 192-15,0.01723,1.020,2999,0.002124,9.53
TOI-2031 A b,TOI-2031 A,0.06600,14.202,6490,2.46,276.11
HD 168746 b,HD 168746,0.07000,11.100,5570,1.1,41.57
HD 20781 c,HD 20781,0.10040,2.170,5256,0.49,35.97
HATS-61 b,HATS-61,0.07908,13.395,5542,2.34,679.76
HD 15337 c,HD 15337,0.12350,2.526,5131,0.472,44.82
Kepler-848 b,Kepler-848,0.07586,1.700,5695,3.9236,1378.47
HD 184010 b,HD 184010,0.94000,12.100,4971,13.09,60.80
WASP-132 b,WASP-132,0.06740,10.099,4686,0.266,122.91
HD 23472 d,HD 23472,0.04298,0.750,4684,0.237,39.03
Kepler-1227 b,Kepler-1227,0.38555,2.290,5747,0.69448,623.71
Kepler-388 c,Kepler-388,0.09300,0.860,4498,0.36365,425.00
HD 129445 b,HD 129445,2.90000,13.300,5646,1.2294,67.44
WASP-141 b,WASP-141,0.04690,13.563,5900,2.0639,516.54
TrES-2 b,TrES-2,0.03568,15.244,5850,1.0925,215.32
HD 108863 b,HD 108863,1.32000,13.300,4878,16.8,164.74
Kepler-1586 b,Kepler-1586,0.12208,1.520,6681,1.5244,552.55
HD 109749 b,HD 109749,0.06150,11.100,5824,1.5488,63.08
Kepler-1355 b,Kepler-1355,0.02240,1.460,5352,0.46858,911.27
TOI-2015 c,TOI-2015,0.04123,2.930,3297,0.0322,47.34
Kepler-1747 b,Kepler-1747,0.06600,4.265,5477,0.62332,1321.38
Kepler-411 d,Kepler-411,0.27900,3.319,4974,0.26364,153.68
Kepler-909 b,Kepler-909,0.11873,1.470,6154,1.875,309.60
Kepler-169 b,Kepler-169,0.04000,1.130,4997,0.31907,406.53
Kepler-1557 b,Kepler-1557,0.04900,1.530,6099,1.3164,1380.16
Kepler-30 b,Kepler-30,0.18000,3.900,5498,0.57999,914.22
HD 87816 c,HD 87816,10.14000,12.400,4989,45.2,133.23
Kepler-1710 b,Kepler-1710,0.11583,3.197,5650,0.7201,305.19
Kepler-842 b,Kepler-842,0.02040,1.600,4848,0.24413,532.73
Kepler-185 c,Kepler-185,0.13900,2.020,5208,0.31298,466.74
HD 168009 b,HD 168009,0.11920,3.050,5778,1.412,23.30
Kepler-245 d,Kepler-245,0.20200,3.030,5100,0.40199,861.53
Kepler-81 c,Kepler-81,0.08347,2.370,4385,0.129,348.29
HIP 105854 b,HIP 105854,0.81000,12.600,4780,46.774,78.64
Kepler-1001 c,Kepler-1001,0.08296,1.578,5376,0.52655,928.98
Kepler-763 b,Kepler-763,0.02050,1.220,5166,0.46355,962.46
Kepler-738 b,Kepler-738,0.15520,2.500,5327,0.61287,1113.65
EPIC 211945201 b,EPIC 211945201,0.14930,5.760,6069,2.3623,181.69
TOI-2796 b,TOI-2796,0.05690,17.262,5764,1.136,350.34
HD 6860 b,HD 6860,2.03000,11.900,3802,1674.9,61.12
HD 86081 b,HD 86081,0.03460,13.600,5939,2.3988,103.94
Kepler-317 c,Kepler-317,0.08300,1.720,5497,0.61973,940.58
