planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
TOI-199 c,TOI-199,0.80700,11.400,5255,0.459,102.27
Kepler-1581 b,Kepler-1581,0.06865,0.800,6022,2.4595,493.18
TOI-206 b,TOI-206,0.01120,1.300,3383,0.014595,47.75
BD+48 740 b,BD+48 740,1.70000,13.500,4534,43.652,666.59
HD 4308 b,HD 4308,0.12000,4.120,5686,0.99083,22.02
Kepler-1403 b,Kepler-1403,0.06400,2.140,6060,2.3555,2163.90
TOI-707 b,TOI-707,0.27500,2.416,5424,0.779,130.96
Kepler-546 b,Kepler-546,0.05020,7.000,5967,1.8645,1019.65
Kepler-299 d,Kepler-299,0.11800,1.860,5617,0.90465,1052.24
GJ 3929 b,GJ 3929,0.02520,1.090,3384,0.0109,15.81
TOI-283 b,TOI-283,0.12300,2.340,5213,0.46,82.70
Kepler-236 b,Kepler-236,0.06500,1.570,3750,0.059,288.76
HIP 8541 b,HIP 8541,3.72900,12.600,4672,20.417,155.12
HD 92788 c,HD 92788,10.50000,13.000,5744,1.0471,34.65
Kepler-310 b,Kepler-310,0.11100,1.190,5797,0.57632,602.27
Kepler-1886 b,Kepler-1886,0.16000,2.582,5745,0.69022,1059.51
HD 207832 c,HD 207832,2.11200,14.000,5710,0.77268,58.93
HD 3167 c,HD 3167,0.17940,2.983,5338,0.55301,47.29
HAT-P-49 b,HAT-P-49,0.04378,17.822,6820,6.5163,350.35
TOI-6019 b,TOI-6019,0.12120,12.300,5561,3.3723,260.34
16 Cyg B b,16 Cyg B,1.66000,13.500,5750,1.2511,21.14
Kepler-522 b,Kepler-522,0.25029,6.910,6392,4.5136,639.24
Kepler-1467 b,Kepler-1467,0.23880,3.300,5332,0.44615,852.89
Kepler-758 c,Kepler-758,0.05768,1.690,6228,3.6543,1502.32
Kepler-19 b,Kepler-19,0.08460,2.209,5541,0.69094,218.56
Kepler-1102 b,Kepler-1102,0.27310,2.660,5724,1.3781,1246.05
HD 72659 c,HD 72659,21.50000,12.100,5929,2.3658,51.89
HD 174205 b,HD 174205,1.70000,13.000,4308,239,234.03
HD 110067 c,HD 110067,0.10390,2.388,5266,0.43427,32.16
Kepler-617 b,Kepler-617,0.02190,1.320,3712,0.049537,173.35
Kepler-371 c,Kepler-371,0.31300,1.780,5666,1.7536,813.19
Kepler-265 e,Kepler-265,0.31900,2.590,5835,1.0127,1280.25
Kepler-1610 c,Kepler-1610,0.23230,2.090,5295,0.32892,864.33
Qatar-2 b,Qatar-2,0.02153,14.056,4645,0.2074,181.37
HD 222076 b,HD 222076,1.83000,13.500,4806,8.5,91.15
HD 98736 b,HD 98736,1.86400,13.300,5271,0.60256,32.45
HD 40979 b,HD 40979,0.85000,12.900,6165,1.9524,34.09
TOI-286 b,TOI-286,0.05030,1.420,5152,0.3858,59.23
Kepler-750 c,Kepler-750,0.05009,1.620,6160,2.2065,1296.02
Kepler-282 b,Kepler-282,0.08200,1.010,5602,1.2761,1337.61
Kepler-278 c,Kepler-278,0.28700,3.268,4965,4.46,443.03
GJ 180 d,GJ 180,0.30900,2.660,3371,0.013,11.94
HD 1461 c,HD 1461,0.11170,2.230,5765,1.2457,23.45
Kepler-1248 b,Kepler-1248,0.08060,1.180,6149,1.888,593.03
K2-275 b,K2-275,0.02770,2.340,4841,0.25508,123.44
HD 74156 b,HD 74156,0.28000,13.500,6068,2.5162,57.60
Kepler-267 c,Kepler-267,0.06000,2.130,4258,0.059,264.99
K2-86 b,K2-86,0.07700,1.960,5482,0.41105,258.70
V830 Tau b,V830 Tau,0.05700,14.000,4250,1.2023,130.11
Kepler-377 c,Kepler-377,0.18200,2.060,5949,1.6503,823.80
Proxima Cen d,Proxima Cen,0.02881,0.692,2900,0.00151,1.30
HD 15906 b,HD 15906,0.09000,2.240,4757,0.27,45.56
HD 196050 b,HD 196050,2.65000,12.900,5879,1.8197,50.67
TOI-1279 b,TOI-1279,0.08500,2.661,5457,0.57101,107.06
K2-326 b,K2-326,0.01980,2.280,3924,0.10512,282.31
Kepler-606 b,Kepler-606,0.17000,3.310,6161,1.7961,1215.11
Kepler-1575 b,Kepler-1575,0.03660,1.310,5667,0.91799,1246.92
Kepler-729 b,Kepler-729,0.04320,3.580,5633,1.8254,1921.15
Kepler-1995 b,Kepler-1995,0.32590,4.280,5029,0.27823,595.33
Kepler-1434 b,Kepler-1434,0.09170,1.110,6291,7.2852,775.53
Kepler-82 c,Kepler-82,0.26260,5.340,5401,0.65303,904.33
Kepler-1538 b,Kepler-1538,0.60950,2.820,5837,0.82232,1125.30
K2-187 b,K2-187,0.01640,1.200,5438,0.63669,330.92
Kepler-464 b,Kepler-464,0.07931,3.300,5933,3.0464,667.60
61 Vir b,61 Vir,0.05020,2.110,5577,0.80353,8.50
Kepler-1782 b,Kepler-1782,0.05825,2.229,4931,0.27782,305.79
Kepler-1580 b,Kepler-1580,0.33571,2.110,6228,8.4388,1002.02
Kepler-198 d,Kepler-198,0.02342,1.530,5636,0.77822,495.36
Kepler-1737 b,Kepler-1737,0.29700,5.395,5043,0.4529,
TOI-1807 b,TOI-1807,0.01220,1.497,4914,0.293,42.58
Kepler-134 c,Kepler-134,0.09200,1.260,5983,1.1495,334.80
TOI-1860 b,TOI-1860,0.02040,1.310,5752,0.80399,45.86
Kepler-132 c,Kepler-132,0.06800,1.280,6003,1.6255,349.55
GJ 3942 b,GJ 3942,0.06080,2.570,3867,0.075858,16.93
Kepler-26 b,Kepler-26,0.08551,2.780,3914,0.087,335.31
Kepler-1589 b,Kepler-1589,0.02050,1.090,6166,2.1347,1513.14
GJ 581 c,GJ 581,0.07180,2.500,3500,0.012365,6.30
HD 196885 A b,HD 196885 A,2.37000,13.200,6254,2.3988,34.17
TOI-5592 b,TOI-5592,0.03935,17.150,6237,2.64,597.03
Kepler-188 c,Kepler-188,0.06600,3.190,6021,1.0826,968.54
HIP 65407 c,HIP 65407,0.31600,13.900,5460,0.65158,61.78
KOI-1831 d,Kepler-324,0.19924,1.130,5233,0.49176,501.57
Kepler-279 c,Kepler-279,0.22360,4.300,6689,3.3022,1037.40
TOI-1444 b,TOI-1444,0.01160,1.418,5460,0.66701,125.46
Kepler-329 c,Kepler-329,0.11300,1.930,4257,0.107,439.72
Kepler-487 d,Kepler-487,0.03445,2.775,5422,0.67191,872.34
HD 43691 b,HD 43691,0.23800,13.200,6093,3.1623,85.60
Kepler-797 b,Kepler-797,0.18100,2.170,5680,2.9494,1315.26
Kepler-199 c,Kepler-199,0.31600,3.250,5644,0.80011,521.05
HATS-8 b,HATS-8,0.04667,9.785,5679,0.94363,794.64
KOI-1783.01,KOI-1783,0.52661,8.860,5922,1.6331,865.73
KELT-16 b,KELT-16,0.02044,15.861,6236,2.52,444.59
Kepler-1681 b,Kepler-1681,0.32000,2.553,5756,0.50898,758.30
Kepler-780 b,Kepler-780,0.01500,0.890,5769,1.0397,557.65
Kepler-1572 b,Kepler-1572,0.05838,0.940,5618,2.3586,946.60
Kepler-1389 b,Kepler-1389,0.38249,1.770,5078,0.29227,497.09
Kepler-251 d,Kepler-251,0.18200,2.770,5526,0.67302,924.62
Kepler-127 d,Kepler-127,0.28000,2.640,6106,2.5498,352.79
CoRoT-12 b,CoRoT-12,0.04016,16.140,5675,1.1749,1126.37
Kepler-1256 b,Kepler-1256,0.10733,1.490,6129,2.6812,891.19
G 264-012 b,G 264-012,0.02279,1.390,3326,0.01066,16.01
GJ 143 b,GJ 143,0.19150,2.610,4640,0.20597,16.32
K2-10 b,K2-10,0.13700,3.773,5533,0.79272,272.36
Kepler-182 b,Kepler-182,0.09600,2.580,6250,2.2063,1549.09
