planeta,tempo_desde_meio_transito_h,fluxo_relativo
HAT-P-7 b,-1.67449,0.9959102
HAT-P-7 b,-1.65814,0.9955618
HAT-P-7 b,-1.64179,0.9953192
HAT-P-7 b,-1.62545,0.9952883
HAT-P-7 b,-1.60910,0.9949415
HAT-P-7 b,-1.59275,0.9950016
HAT-P-7 b,-1.57641,0.9949030
HAT-P-7 b,-1.56006,0.9948732
HAT-P-7 b,-1.54371,0.9946788
HAT-P-7 b,-1.52737,0.9948731
HAT-P-7 b,-1.51102,0.9949933
HAT-P-7 b,-1.49467,0.9944922
HAT-P-7 b,-1.47833,0.9946589
HAT-P-7 b,-1.46198,0.9945714
HAT-P-7 b,-1.44563,0.9945390
HAT-P-7 b,-1.42929,0.9943342
HAT-P-7 b,-1.41294,0.9942463
HAT-P-7 b,-1.39659,0.9944578
HAT-P-7 b,-1.38024,0.9940562
HAT-P-7 b,-1.36390,0.9943840
HAT-P-7 b,-1.34755,0.9941397
HAT-P-7 b,-1.33121,0.9940120
HAT-P-7 b,-1.31486,0.9939581
HAT-P-7 b,-1.29851,0.9939907
HAT-P-7 b,-1.28216,0.9942155
HAT-P-7 b,-1.26582,0.9939752
HAT-P-7 b,-1.24947,0.9940779
HAT-P-7 b,-1.23313,0.9941869
HAT-P-7 b,-1.21678,0.9939294
HAT-P-7 b,-1.20043,0.9940352
HAT-P-7 b,-1.18408,0.9942267
HAT-P-7 b,-1.16774,0.9942831
HAT-P-7 b,-1.15139,0.9940258
HAT-P-7 b,-1.13504,0.9940156
HAT-P-7 b,-1.11870,0.9936596
HAT-P-7 b,-1.10235,0.9941305
HAT-P-7 b,-1.08601,0.9939944
HAT-P-7 b,-1.06966,0.9938938
HAT-P-7 b,-1.05331,0.9938120
HAT-P-7 b,-1.03696,0.9937317
HAT-P-7 b,-1.02062,0.9934973
HAT-P-7 b,-1.00427,0.9937021
HAT-P-7 b,-0.98792,0.9939544
HAT-P-7 b,-0.97158,0.9938584
HAT-P-7 b,-0.95523,0.9938112
HAT-P-7 b,-0.93889,0.9938625
HAT-P-7 b,-0.92254,0.9936423
HAT-P-7 b,-0.90619,0.9936897
HAT-P-7 b,-0.88984,0.9935838
HAT-P-7 b,-0.87350,0.9936634
HAT-P-7 b,-0.85715,0.9937364
HAT-P-7 b,-0.84081,0.9935516
HAT-P-7 b,-0.82446,0.9936221
HAT-P-7 b,-0.80811,0.9935606
HAT-P-7 b,-0.79176,0.9935498
HAT-P-7 b,-0.77542,0.9935067
HAT-P-7 b,-0.75907,0.9935712
HAT-P-7 b,-0.74272,0.9936251
HAT-P-7 b,-0.72637,0.9933827
HAT-P-7 b,-0.71003,0.9936432
HAT-P-7 b,-0.69368,0.9933787
HAT-P-7 b,-0.67734,0.9934026
HAT-P-7 b,-0.66099,0.9936781
HAT-P-7 b,-0.64464,0.9934740
HAT-P-7 b,-0.62829,0.9935308
HAT-P-7 b,-0.61195,0.9933841
HAT-P-7 b,-0.59560,0.9935147
HAT-P-7 b,-0.57925,0.9934275
HAT-P-7 b,-0.56291,0.9933083
HAT-P-7 b,-0.54656,0.9935856
HAT-P-7 b,-0.53022,0.9934836
HAT-P-7 b,-0.51387,0.9935384
HAT-P-7 b,-0.49752,0.9932143
HAT-P-7 b,-0.48118,0.9934065
HAT-P-7 b,-0.46483,0.9932101
HAT-P-7 b,-0.44848,0.9933791
HAT-P-7 b,-0.43214,0.9931024
HAT-P-7 b,-0.41579,0.9932681
HAT-P-7 b,-0.39944,0.9931756
HAT-P-7 b,-0.38310,0.9935121
HAT-P-7 b,-0.36675,0.9932773
HAT-P-7 b,-0.35040,0.9934773
HAT-P-7 b,-0.33405,0.9936128
HAT-P-7 b,-0.31771,0.9936079
HAT-P-7 b,-0.30136,0.9933063
HAT-P-7 b,-0.28502,0.9934196
HAT-P-7 b,-0.26867,0.9936543
HAT-P-7 b,-0.25232,0.9933695
HAT-P-7 b,-0.23597,0.9933102
HAT-P-7 b,-0.21963,0.9932470
HAT-P-7 b,-0.20328,0.9934354
HAT-P-7 b,-0.18693,0.9936446
HAT-P-7 b,-0.17059,0.9931509
HAT-P-7 b,-0.15424,0.9934709
HAT-P-7 b,-0.13789,0.9932752
HAT-P-7 b,-0.12155,0.9934278
HAT-P-7 b,-0.10520,0.9935668
HAT-P-7 b,-0.08885,0.9937207
HAT-P-7 b,-0.07250,0.9933737
HAT-P-7 b,-0.05616,0.9932829
HAT-P-7 b,-0.03981,0.9933800
HAT-P-7 b,-0.02347,0.9934320
HAT-P-7 b,-0.00712,0.9933505
HAT-P-7 b,0.00923,0.9933686
HAT-P-7 b,0.02558,0.9935284
HAT-P-7 b,0.04192,0.9934154
HAT-P-7 b,0.05827,0.9933650
HAT-P-7 b,0.07461,0.9931124
HAT-P-7 b,0.09096,0.9931087
HAT-P-7 b,0.10731,0.9934673
HAT-P-7 b,0.12365,0.9930902
HAT-P-7 b,0.14000,0.9929796
HAT-P-7 b,0.15635,0.9930691
HAT-P-7 b,0.17269,0.9934060
HAT-P-7 b,0.18904,0.9931561
HAT-P-7 b,0.20539,0.9934728
HAT-P-7 b,0.22173,0.9935228
HAT-P-7 b,0.23808,0.9933917
HAT-P-7 b,0.25443,0.9932391
HAT-P-7 b,0.27078,0.9932029
HAT-P-7 b,0.28712,0.9933480
HAT-P-7 b,0.30347,0.9931067
HAT-P-7 b,0.31982,0.9931978
HAT-P-7 b,0.33616,0.9930681
HAT-P-7 b,0.35251,0.9931794
HAT-P-7 b,0.36886,0.9932315
HAT-P-7 b,0.38520,0.9933710
HAT-P-7 b,0.40155,0.9931199
HAT-P-7 b,0.41790,0.9933366
HAT-P-7 b,0.43425,0.9932308
HAT-P-7 b,0.45059,0.9931397
HAT-P-7 b,0.46694,0.9933928
HAT-P-7 b,0.48328,0.9934025
HAT-P-7 b,0.49963,0.9934233
HAT-P-7 b,0.51598,0.9934925
HAT-P-7 b,0.53233,0.9934412
HAT-P-7 b,0.54867,0.9934417
HAT-P-7 b,0.56502,0.9935831
HAT-P-7 b,0.58137,0.9936241
HAT-P-7 b,0.59771,0.9935233
HAT-P-7 b,0.61406,0.9933906
HAT-P-7 b,0.63041,0.9933602
HAT-P-7 b,0.64675,0.9934919
HAT-P-7 b,0.66310,0.9936648
HAT-P-7 b,0.67945,0.9932737
HAT-P-7 b,0.69579,0.9934299
HAT-P-7 b,0.71214,0.9931460
HAT-P-7 b,0.72849,0.9936793
HAT-P-7 b,0.74483,0.9933788
