pulsar,P_s,Pponto_s_por_s,distancia_kpc
J1744-1134,0.00407454594,8.9347e-21,0.40
J1744-1610,1.75720587,2.3767e-15,1.99
J1744-2335,1.68350669,8.3270e-16,2.45
J1744-3130,1.06606087,2.1224e-14,3.64
J1744-3922,0.172444361,1.5500e-18,4.60
J1744-5337,0.355665849,1.9000e-16,8.16
J1745-0129,1.04540686,6.3100e-16,7.26
J1745-0952,0.0193763034,9.2460e-20,2.38
J1745+1017,0.00265212967,2.7290e-21,1.36
J1745-2229,1.16059254,2.8570e-15,9.30
J1745-2900,3.76373308,1.7560e-11,8.30
J1745-3040,0.367428754,1.0668e-14,0.20
J1745-3812,0.698352864,2.4260e-15,4.82
J1746+2245,3.46503778,4.9190e-15,4.32
J1746+2540,1.05814817,1.0470e-15,4.16
J1746-2849,1.47848037,1.2700e-14,30.00
J1746-2850,1.07710149,1.3431e-12,12.86
J1746-2856,0.945224316,1.2500e-14,21.77
J1746-3239,0.19954136,6.5609e-15,
J1747-1030,1.57879289,4.3000e-16,7.27
J1747-2647,0.500254454,1.3241e-14,8.44
J1747-2802,2.7800792,2.3700e-15,11.78
J1747-2809,0.052152855,1.5557e-13,17.55
J1747-2958,0.0988139765,6.1323e-14,2.49
J1747-4036,0.00164560961,1.3137e-20,5.81
J1748-1300,0.394133347,1.2127e-15,3.64
J1748-2021A,0.288602792,3.9933e-16,8.24
J1748-2021D,0.0134958204,5.8677e-19,8.24
J1748-2021E,0.0162640034,3.1240e-19,8.24
J1748-2444,0.442838499,1.1131e-16,3.89
J1749-2347,0.874485882,2.4236e-15,6.10
J1749-2629,1.33538779,1.7200e-15,5.28
J1749-3002,0.609873649,7.8707e-15,9.05
J1749-4931,0.445822307,5.9000e-16,1.80
J1749-5605,1.33230972,2.1200e-15,2.66
J1750-2043,5.63904708,7.9000e-15,5.69
J1750-2438,0.712794037,1.0797e-14,7.15
J1750-2444,0.899376721,2.6400e-16,5.03
J1750-28,1.30051315,5.7800e-15,5.19
J1750-3157,0.910362984,1.9652e-16,4.43
J1750-3503,0.684013603,3.8100e-17,5.07
J1750-3703A,0.111600837,5.6610e-18,13.80
J1750-3703B,0.00607454209,1.9200e-20,13.80
J1750-3703D,0.00513993677,4.9280e-19,13.80
J1751-2516,0.394835784,2.6450e-15,7.46
J1751-2857,0.0039148732,1.1260e-20,1.44
J1751-3323,0.548227104,8.8300e-15,9.27
J1751-4657,0.742352395,1.2911e-15,1.03
J1752+2359,0.409050865,6.4270e-16,2.70
J1752-2410,0.191036694,6.1773e-16,7.42
J1752-2806,0.562557636,8.1291e-15,0.20
J1752-2821,0.6402295,3.4680e-15,7.62
J1753-1914,0.062954889,2.0200e-18,2.77
J1753-2240,0.0951378087,9.7000e-19,3.46
J1753-2501,0.528336409,1.4115e-14,10.18
J1754-2422,2.09024808,8.3000e-16,11.43
J1754-3443,0.361690596,5.7120e-16,5.60
J1754-3510,0.392703893,7.8160e-16,2.24
J1754+5201,2.39139679,1.5641e-15,3.56
J1755-0903,0.190709643,7.8090e-16,2.16
J1755-1650,0.733744439,6.8600e-16,4.27
J1755-2025,0.322231179,4.4217e-15,8.64
J1755-2521,1.17596788,9.0193e-14,4.12
J1755-25211,1.00451255,3.1208e-14,11.52
J1755-2534,0.233540625,1.1206e-14,7.22
J1755-26,0.430872156,1.2280e-14,5.17
J1755-2725,0.261954678,1.4000e-17,2.83
J1755-3716,0.0127860693,3.1000e-20,6.38
J1756-2225,0.404980301,5.2691e-14,5.02
J1756-2251,0.028461589,1.0175e-18,0.73
J1756-2435,0.670479963,2.8474e-16,4.96
J1756-2619,0.724513749,1.2380e-15,7.74
J1757-2223,0.185310102,7.8200e-16,4.11
J1757-2421,0.234100571,1.2919e-14,3.51
J1757-27,0.0176872148,2.1000e-19,5.42
J1757-5322,0.00886996123,2.6300e-20,1.36
J1758-1931,0.692551578,1.6920e-14,4.23
J1758-2206,0.43027825,9.5600e-16,11.38
J1758-2540,2.10726337,1.5500e-15,3.85
J1758-2630,1.20289346,5.1700e-15,4.99
J1758-2846,0.766706386,9.4000e-17,1.71
J1758+3030,0.947255811,7.2000e-16,2.67
J1759-1029,2.51226281,1.5740e-14,3.77
J1759-1736,0.798451567,2.5500e-16,4.75
J1759-1903,0.731505472,3.0700e-15,13.30
J1759-1940,0.254720352,9.3400e-17,5.24
J1759-1956,2.84338881,1.8570e-14,4.44
J1759-2205,0.460974128,1.0872e-14,3.54
J1759-2302,0.810717729,1.0744e-14,11.88
J1759-2307,0.558888678,3.7620e-15,11.20
J1759-2549,0.956548549,9.9592e-14,5.94
J1759-2922,0.574400268,4.6285e-15,1.92
J1759-3107,1.07895332,3.7690e-15,3.36
J1800-0125,0.78318549,1.1537e-14,2.24
J1800-2114,1.79927249,5.5000e-16,11.18
J1801-0357,0.921490674,3.3101e-15,7.13
J1801-0857B,0.0289615877,2.1910e-18,7.20
J1801-0857D,0.004226532,6.9000e-21,7.20
J1801-1417,0.00362509666,5.3100e-21,1.80
J1801-1855,2.55049821,1.8000e-16,11.91
J1801-1909,1.10872485,7.0300e-16,4.81
J1801-2115,0.438113157,1.6000e-17,12.26
J1801-2154,0.375296924,1.5998e-14,5.16
J1801-2304,0.41582709,1.1293e-13,4.00
J1801-2451,0.124924207,1.2791e-13,4.61
J1801-2920,1.08190847,3.2931e-15,3.27
J1801-3458,1.38560362,4.0000e-16,4.96
J1802+0128,0.554261604,2.1090e-15,8.79
J1802-1745,0.514671377,5.6400e-16,5.22
J1802-2124,0.0126475936,7.2560e-20,3.33
J1802-2426,0.56900709,8.5620e-15,12.13
J1802-3346,2.461052,1.3200e-15,10.24
J1803-1616,0.536595823,1.7714e-15,12.90
J1803-1857,2.86433774,1.5170e-14,5.88
J1803-1920,0.443648922,3.2970e-16,6.46
J1803-2137,0.13366692,1.3436e-13,4.40
J1803-2149,0.106332094,1.9514e-14,
J1803-2712,0.334415427,1.7113e-17,3.62
J1803-3329,0.633411983,3.3720e-16,6.01
J1804-0735,0.0231008553,4.6710e-19,7.80
J1804-2228,0.570510633,1.4300e-16,5.33
J1804-2717,0.00934303069,4.0890e-20,1.17
J1805+0306,0.218711565,9.9945e-16,5.00
J1805-0619,0.454650713,9.6900e-16,6.69
J1805-1504,1.18126923,2.7000e-16,5.30
J1805-2032,0.405769488,8.3940e-15,11.87
J1805-2037,0.357806775,1.7555e-15,9.26
J1805-2447,0.661401759,5.8000e-18,4.79
J1805-2948,0.428340989,4.7400e-16,4.61
J1806+1023,0.48428646,5.7250e-17,3.27
J1806-1154,0.522618386,1.4088e-15,3.56
J1806-1618,0.66830921,8.6200e-16,6.36
J1806-1920,0.879790876,1.7000e-17,10.16
J1806-2125,0.481789349,1.2140e-13,10.02
J1807+0756,0.464300493,1.2940e-16,7.66
J1807-0847,0.163727372,2.8799e-17,1.50
J1807-2459B,0.0041861772,8.2325e-20,2.79
J1807-2557,2.76419487,4.9940e-15,11.21
J1807-2715,0.827776462,1.2173e-14,9.63
J1808-0813,0.876044287,1.2402e-15,5.18
J1808-1020,0.596993203,7.7250e-16,8.50
J1808-1517,0.544549207,2.6671e-15,4.16
J1808-1726,0.241034548,1.2000e-17,8.57
J1808-2024,7.55592,5.4900e-10,13.00
J1808-2057,0.918410326,1.7076e-14,7.35
J1808-2701,2.45788178,6.5818e-14,2.45
J1808-3249,0.364912242,7.0494e-15,5.06
J1809-0119,0.744976402,2.2900e-15,10.59
J1809-0743,0.313885675,1.5210e-16,17.82
J1809-1429,0.895285284,5.2400e-15,12.01
J1809-1850,1.12448109,1.0575e-14,7.06
J1809-1917,0.0827468857,2.5535e-14,3.71
J1809-1943,5.54035372,7.7700e-12,3.60
J1809-2004,0.434811386,7.2800e-15,10.91
J1809-2109,0.702413629,3.8219e-15,5.20
J1809-2332,0.146788548,3.4421e-14,
J1809-3547,0.860387839,1.2000e-16,13.02
J1810-1441,0.2172135,2.3870e-17,5.88
J1810-1820,0.153716278,5.2000e-17,5.59
J1810-2005,0.0328222449,1.4742e-19,4.05
J1810-5338,0.261049318,3.8300e-16,2.00
J1811-0154,0.924944823,1.6080e-15,9.56
J1811+0702,0.461712677,2.6920e-15,3.13
J1811-1049,2.62385856,8.0000e-16,8.50
J1811-1717,0.391385101,1.2000e-16,7.03
J1811-1736,0.104181955,9.0100e-19,5.93
J1811-1835,0.557463612,6.3150e-15,9.36
J1811-1925,0.064667,4.4000e-14,5.00
J1811-2405,0.00266059332,1.3377e-20,1.70
J1811-2439,0.415812941,2.9720e-16,3.85
J1811-4930,1.4327042,2.2540e-15,2.01
J1812+0226,0.793902802,3.5996e-15,6.16
J1812-1718,1.20537444,1.9077e-14,4.20
J1812-1733,0.538340543,9.8245e-16,6.32
J1812-1910,0.430990981,3.7740e-14,11.54
J1812-2102,1.22335231,2.3893e-14,9.62
J1812-2526,0.315835048,1.7750e-16,14.71
J1812-2748,0.236983307,3.1560e-16,3.03
J1812-3039,0.587476776,6.6020e-16,4.61
J1813-1246,0.0480722468,1.7564e-14,
J1813-1749,0.0446993053,1.2655e-13,4.70
J1813+1822,0.336424676,2.1000e-17,6.24
J1813-2113,0.426466241,2.0810e-15,8.75
J1813-2242,0.328514216,4.7800e-17,6.78
J1813-2621,0.00443001163,1.2466e-20,3.37
J1813+4013,0.931089085,2.5487e-15,4.32
J1814-0521,1.01421948,8.8400e-16,4.37
J1814-0618,1.3778685,2.9200e-16,5.63
J1814+1130,0.751261115,1.6604e-15,4.53
J1814-1649,0.957463935,6.3330e-15,9.62
J1814-1744,3.97590519,7.4470e-13,9.77
J1815-1738,0.198435733,7.7853e-14,9.01
J1815-1910,1.24992354,3.6300e-14,7.69
J1816-0755,0.217642691,6.4803e-15,3.21
J1816-1446,0.594499816,1.3261e-15,8.98
J1816-1729,0.78231336,7.2621e-15,6.48
J1816-2650,0.59288513,6.6411e-17,3.61
J1816+4510,0.00319310355,4.3100e-20,4.20
J1816-5643,0.217922882,1.9300e-18,3.06
J1817-1511,0.224603837,1.4313e-15,11.58
J1817-1938,2.04683763,3.6000e-16,10.74
J1817-3618,0.387016921,2.0465e-15,3.78
J1817-3837,0.384486784,5.8020e-16,5.23
J1818-1116,0.544799525,3.8240e-15,10.29
J1818-1422,0.291489461,2.0357e-15,8.10
J1818-1448,0.2813713,6.1500e-15,7.96
J1818-1519,0.93969004,4.1100e-15,9.98
J1818-1541,0.551133777,9.6760e-15,8.24
J1818-1556,0.952708903,7.0620e-16,4.01
J1819-0925,0.852047484,3.1302e-15,11.10
J1819-1008,0.301489849,1.3209e-15,10.75
J1819-1114,0.294162515,5.6600e-16,5.82
J1819-1131,1.38813713,7.6100e-16,12.25
J1819+1305,1.06036354,3.5920e-16,4.41
J1819-1318,1.51569599,6.0000e-16,1.52
J1819-1408,1.78849045,2.5900e-15,12.45
J1819-1458,4.26316403,5.7517e-13,3.81
J1819-1510,0.22653899,7.9000e-18,5.61
J1819-1717,0.393521638,3.4550e-15,5.87
J1820-0427,0.59807593,6.3314e-15,0.30
J1820-0509,0.337320796,9.3230e-16,2.81
J1820-1346,0.921459731,4.4952e-15,9.63
J1820-1529,0.333242851,3.7907e-14,9.60
J1820-1818,0.309904593,9.3609e-17,8.43
J1821+0155,0.0337813319,2.9000e-20,2.29
J1821-0256,0.41411105,3.7200e-17,2.55
J1821-0331,0.902315629,2.5300e-15,5.56
J1821-1419,1.65600957,8.9450e-13,11.93
J1821-1432,1.91513067,5.3730e-15,6.95
J1821+1715,1.36668206,8.7140e-16,4.68
J1822+0705,1.36281739,1.7472e-15,3.02
J1822-0848,2.50451782,4.0300e-16,4.19
J1822-0907,0.974700373,3.5500e-16,12.31
J1822+1120,1.78703681,2.3460e-15,8.77
J1822-1252,2.07104027,8.4760e-14,10.61
J1822-1400,0.21477111,9.0689e-16,7.77
J1822-1604,8.43772106,2.1000e-14,
J1822-1617,0.831155727,1.8850e-15,11.64
J1822-2256,1.87426852,1.3544e-15,3.43
J1822-4209,0.456511945,4.5864e-16,3.50
J1823-0154,0.759777464,1.1315e-15,4.56
J1823+0550,0.752906543,2.2673e-16,2.00
J1823-1115,0.279828697,1.3786e-15,6.28
J1823-1126,1.8465342,3.6520e-14,8.72
J1823-1347,0.617107206,9.6000e-15,11.14
J1823-1526,1.62540547,4.5200e-15,9.17
J1823-1807,1.63679245,2.8000e-16,6.64
J1823-3021A,0.00544000416,3.3750e-18,12.10
J1823-3021B,0.378596492,2.9900e-17,12.10
J1823-3021C,0.405935963,2.2400e-16,12.10
J1823-3106,0.284054345,2.9270e-15,1.66
J1824-0127,2.49946827,3.9110e-15,2.21
J1824-1118,0.435759033,3.5545e-15,8.03
J1824-1159,0.362492078,5.3793e-15,6.09
J1824-1350,1.39659855,6.0700e-16,7.06
J1824-1423,0.359394162,3.9230e-16,6.05
J1824-1500,0.412229959,7.5800e-16,8.30
J1824-1945,0.18933499,5.2313e-15,3.70
J1824-2233,1.16174311,3.0100e-16,4.26
J1824-2328,1.50587455,1.7400e-15,5.76
J1824-2452A,0.00305431559,1.6188e-18,5.50
J1824-2537,0.223320267,4.4016e-16,5.48
J1825+0004,0.7789494,8.7616e-16,2.26
J1825-0319,0.00455352792,6.8000e-21,3.26
J1825-0935,0.769005855,5.2502e-14,0.30
J1825-1108,1.92587177,1.9000e-15,2.71
J1825-1446,0.279186875,2.2678e-14,5.45
J1826-1131,2.09313631,4.9103e-15,4.83
J1826-1256,0.110223702,1.2145e-13,
J1826-1334,0.101486794,7.5252e-14,4.12
J1826-1419,0.770620171,8.7841e-15,3.59
J1826-1526,0.382072812,1.0850e-15,10.87
J1827-0750,0.270502039,1.5446e-15,7.39
J1827-0934,0.512547818,7.2270e-15,4.47
J1827-0958,0.245757118,1.0023e-15,6.15
J1828-0611,0.269414732,1.4595e-15,8.76
J1828-1007,0.153196979,6.1339e-16,4.72
J1828-1057,0.246327587,2.0701e-14,4.27
J1828-1101,0.0720516327,1.4810e-14,7.26
J1828-1336,0.860332116,9.9500e-16,7.99
J1828+1359,0.74163952,7.2860e-16,3.29
J1828-2119,0.51452307,1.2668e-15,12.56
J1829+0000,0.199147397,5.2490e-16,3.32
J1829-0734,0.318400873,4.7890e-15,5.45
J1829-1751,0.307132976,5.5517e-15,5.49
J1829+2456,0.0410098236,5.2500e-20,0.74
J1830-0052,0.345698034,2.3700e-16,7.10
J1830-0131,0.457535874,6.3181e-15,2.68
J1830-1059,0.405043322,6.0025e-14,3.58
J1830-1135,6.22155267,4.7750e-14,4.36
J1830-1313,0.747187668,1.7140e-15,10.42
J1830-1414,0.77149252,7.6000e-17,7.81
J1831-0823,0.612132964,3.0910e-16,4.41
J1831-0952,0.0672668461,8.3239e-15,4.33
J1831-1223,2.857941,5.5000e-15,5.51
J1831-1329,2.16567935,2.9900e-15,6.48
J1831-1423,0.507945195,1.0947e-15,8.02
J1832+0029,0.533917296,1.5100e-15,1.45
J1832-0644,0.744295419,3.7089e-14,8.81
J1832-0827,0.647292718,6.3879e-14,5.20
J1832-0836,0.00271911206,8.6200e-21,1.40
J1832-1021,0.330354089,4.2020e-15,6.43
J1833-0209,0.291930632,2.7548e-15,9.25
J1833-0338,0.686704444,4.1565e-14,5.07
J1833-0556,1.52154517,1.2800e-15,7.37
J1833-0559,0.48345888,1.2350e-14,5.83
J1833-0827,0.0852842513,9.1707e-15,4.50
J1833-0831,7.5654084,3.4000e-12,
J1833-1034,0.06188365,2.0201e-13,4.10
J1833-1055,0.633640298,5.2700e-16,8.44
J1833-6023,1.8894355,2.7000e-16,1.85
J1834-0010,0.520954311,1.0530e-17,2.64
J1834-0031,0.329531922,4.4860e-16,4.35
J1834-0426,0.290108193,7.1947e-17,2.30
J1834-0602,0.487913592,1.8280e-15,6.60
J1834-0633,0.317314883,6.0000e-16,9.36
J1834-0731,0.512979909,5.8200e-14,4.76
J1834-0742,0.788353567,3.2470e-14,6.91
J1834-0812,0.491141556,9.9600e-15,10.34
J1834-0845,2.4823018,7.9600e-12,
J1834-1202,0.610258782,6.7000e-18,6.28
J1834-1710,0.358306049,4.6900e-17,3.53
J1834-1855,1.46565577,1.9310e-15,6.21
J1835-0114,0.00511638764,7.0000e-21,2.67
J1835-0349,0.841864519,3.0580e-15,5.25
J1835-0522,1.08774919,4.7000e-16,7.13
J1835-0643,0.305830098,4.0456e-14,6.44
J1835-0924,0.859192035,2.1390e-14,6.62
J1835-09242,0.235248925,1.1840e-17,6.85
J1835-0928,0.621733994,9.6900e-16,6.36
J1835-0944,0.145346823,4.3900e-15,4.67
J1835-0946,0.379536106,4.3000e-17,4.04
J1835-1020,0.302448109,5.9187e-15,2.57
J1835-1106,0.165906978,2.0611e-14,3.08
J1835-1548,0.670485662,1.7400e-15,15.04
J1836-0436,0.354236508,1.6609e-15,4.62
J1836-0517,0.45724503,1.3019e-15,8.08
J1836-1008,0.562710736,1.1799e-14,5.39
J1836-1324,0.178756352,1.0366e-15,3.91
J1836-2354A,0.00335433608,2.3180e-21,3.20
J1836+5925,0.173263836,1.5016e-15,
J1837-0045,0.617036696,1.6845e-15,2.55
J1837+0053,0.47351253,3.8000e-17,3.24
J1837-0559,0.201062574,3.3048e-15,5.01
J1837-0604,0.0962942077,4.5172e-14,6.19
J1837-0653,1.90580871,7.7204e-16,4.93
J1837+1221,1.96353198,6.2000e-15,6.10
J1837-1243,1.87601852,3.6510e-14,7.51
J1837-1837,0.618357697,5.4950e-15,3.04
J1838-0107,0.444425725,5.4600e-18,5.83
J1838-0453,0.380830777,1.1566e-13,8.28
J1838-0537,0.14570774,4.7179e-13,
J1838-0549,0.2353032,3.3429e-14,4.73
J1838-0624,0.927177742,7.7000e-17,5.82
J1838-0655,0.070498244,4.9250e-14,6.60
J1838-1046,1.2183536,3.0800e-15,4.35
J1838+1650,1.9019674,2.6770e-15,1.84
J1838-1849,0.488242009,4.0000e-17,6.30
J1839-0223,1.26679012,4.7630e-15,5.78
J1839-0321,0.238777818,1.2520e-14,6.82
J1839-0332,2.67568226,4.7600e-15,4.24
J1839-0402,0.52093968,7.6940e-15,4.69
J1839-0436,0.149460656,8.0960e-16,4.98
J1839-0459,0.585319038,3.3080e-15,4.59
J1839-0627,0.484913679,1.3200e-16,2.33
J1839-0643,0.44954815,3.6380e-15,6.55
J1839-0905,0.418968843,2.6033e-14,6.14
J1839-1238,1.91142802,4.9470e-15,4.18
J1839+15,0.549160534,2.6130e-14,3.94
J1840+0214,0.797478075,8.2940e-15,5.42
J1840-0559,0.859368467,9.6020e-15,5.04
J1840-0626,1.8933527,2.3030e-14,8.99
J1840-0643,0.0355778755,2.2020e-16,6.73
J1840-0753,0.437869002,1.0000e-16,11.71
J1840-0809,0.955672136,2.3510e-15,5.77
J1840-0815,1.09643997,2.4151e-15,4.50
J1840-0840,5.30937668,2.3700e-14,4.94
J1840-1122,0.940961617,6.4090e-15,8.30
J1840-1207,0.754470427,3.1972e-15,9.59
J1840-1419,6.59756262,6.3300e-15,1.01
J1840+5640,1.65286185,1.4948e-15,2.61
J1841+0130,0.0297727753,8.1700e-18,3.19
J1841-0157,0.663321098,1.8077e-14,7.27
J1841-0310,1.65765646,3.3500e-16,4.50
J1841-0345,0.204068115,5.7872e-14,4.15
J1841-0425,0.186148858,6.3929e-15,5.17
J1841-0456,11.7889784,4.0920e-11,9.60
J1841-0500,0.912914196,3.4750e-14,6.77
J1841-0524,0.445748931,2.3372e-13,4.89
J1841+0912,0.381319294,1.0903e-15,2.49
J1841-1404,1.33455723,6.4000e-16,10.85
J1841-7845,0.353602533,1.6000e-16,4.01
J1842-0153,1.05422825,6.7220e-15,6.49
J1842+0257,3.08825579,2.9591e-14,3.93
J1842-0309,0.404919644,4.5180e-15,11.41
J1842+0358,0.233326207,8.1150e-16,3.21
J1842-0359,1.83994432,5.0876e-16,4.15
J1842-0415,0.526682242,2.1937e-14,4.02
J1842-0612,0.56447538,2.2000e-17,7.01
J1842+0638,0.313016401,7.6000e-17,11.04
J1842-0800,1.25546857,1.9400e-16,4.23
J1842-0905,0.344642757,1.0493e-14,7.41
J1842+1332,0.471603579,2.2900e-16,5.90
J1843-0000,0.880330482,7.7920e-15,2.73
J1843-0050,0.782598469,2.4900e-16,7.73
J1843-0137,0.669872387,2.4680e-15,7.13
J1843-0211,2.02752439,1.4440e-14,6.34
J1843-0355,0.132313618,1.0400e-15,8.81
J1843-0408,0.7819337,2.3900e-15,4.68
J1843-0459,0.75496337,8.5400e-16,6.15
J1843-0510,0.671613829,3.8923e-15,4.72
J1843-0702,0.191614063,2.1402e-15,4.57
J1843-0744,0.475392527,1.3304e-14,5.77
J1843-0806,0.536413666,1.7359e-14,4.55
J1843-1113,0.00184566629,9.5900e-21,1.97
J1843-1448,0.00547133088,6.2090e-21,3.42
J1843-1507,0.583550377,7.1999e-15,9.05
J1843+2024,3.40653867,1.0400e-15,7.72
J1844-0030,0.641097851,6.0780e-15,8.66
J1844+0115,0.00418554394,1.0700e-20,3.45
J1844-0244,0.507722322,1.6740e-14,5.99
J1844-0302,1.19863027,7.8090e-15,6.80
J1844-0310,0.525049143,1.0235e-14,8.88
J1844-0433,0.991026616,3.9145e-15,2.78
J1844-0452,0.269443321,6.8000e-16,8.06
J1844-0502,0.335162528,6.2000e-17,5.20
J1844-0538,0.255699268,9.7055e-15,6.18
J1844+1454,0.375463379,1.8723e-15,2.61
J1845-0316,0.20763572,8.8600e-15,6.53
J1845-0434,0.486750799,1.1326e-14,4.61
J1845-0545,1.09234815,1.3430e-14,5.39
J1845+0623,1.42165378,5.4600e-16,3.53
J1845-0635,0.340527647,4.4910e-15,7.56
J1845-0743,0.104694545,3.6660e-16,5.85
J1845-0826,0.634354347,9.3530e-15,4.87
J1845-1114,0.206219981,2.0055e-15,5.82
J1845-1351,2.61891847,9.7230e-15,7.10
J1846+0051,0.43437288,1.1226e-14,3.20
J1846-0257,4.47672254,1.6059e-13,4.69
J1846-0258,0.326571288,7.1074e-12,5.80
J1846-0749,0.350109573,1.2616e-15,10.10
J1846-07492,0.861379643,5.1870e-15,4.47
J1846+0919,0.225551453,9.9300e-15,
J1846-7403,4.87883853,6.0600e-15,4.07
J1847-0130,6.70704572,1.2749e-12,7.64
J1847-0402,0.597769151,5.1707e-14,3.12
J1847-0427,0.259246643,5.9000e-18,4.17
J1847-0438,0.957991165,1.0933e-14,4.72
J1847-0443,0.34083213,2.8300e-17,7.57
J1847-0605,0.778164353,4.6450e-15,4.59
J1848-0023,0.537623733,1.6100e-15,1.55
J1848-0055,0.274556685,1.3500e-15,15.15
J1848-0123,0.659432051,5.2518e-15,4.40
J1848+0351,0.191442663,6.7300e-17,10.53
J1848-0511,1.63712901,8.8630e-15,7.78
J1848-0601,0.225004475,2.8710e-16,12.13
J1848+0604,2.21860265,3.7360e-15,8.78
J1848+0647,0.505956739,8.7516e-15,1.44
J1848+0826,0.328664727,2.7210e-16,3.37
J1848-1150,1.31221844,1.4340e-15,4.77
J1848-1414,0.297769547,1.4090e-17,4.39
J1848-1952,4.3081896,2.3282e-14,0.95
J1849-0001,0.0385189434,1.4224e-14,
J1849-0040,0.672480607,1.1140e-14,20.86
J1849+0127,0.542155481,2.7970e-14,4.54
J1849-0317,0.668407829,2.2030e-14,1.90
J1849+0409,0.761194082,2.1586e-14,2.41
J1849-0614,0.953384188,5.3889e-14,2.84
J1849-0636,1.45131947,4.6240e-14,3.68
J1849+2423,0.275641499,1.5258e-16,4.02
J1850-0006,2.19149797,4.3200e-15,7.21
J1850-0026,0.166633924,3.9102e-14,10.69
J1850+0026,1.08184378,3.5900e-16,4.27
J1850-0031,0.73418486,1.2630e-15,9.98
J1850+0124,0.00355976377,1.0900e-20,2.97
J1850+0242,0.00447986405,1.6300e-19,13.10
J1850+0423,0.290716217,9.1400e-17,7.38
J1850+1335,0.345581898,1.4924e-15,3.14
J1851-0029,0.518721435,4.7386e-15,6.86
J1851-0053,1.40906524,8.7000e-16,1.24
J1851-0114,0.953181685,2.4830e-15,6.28
J1851+0118,0.906976861,1.3670e-13,6.75
J1851-0241,0.435193852,7.9630e-15,7.62
J1851+0418,0.284697472,1.0890e-15,3.17
J1851+1259,1.20530328,1.1520e-14,3.50
J1852+0008,0.467894113,5.6790e-15,5.10
J1852+0013,0.957750945,1.4034e-14,7.22
J1852+0031,2.18019518,9.6955e-14,8.00
J1852+0040,0.104912611,8.6800e-18,10.00
J1852-0118,0.451472853,1.7570e-15,5.40
J1852-0127,0.428978926,5.1490e-15,6.43
J1852+0305,1.32614857,1.0000e-16,6.73
J1852-0635,0.524150885,1.4640e-14,4.60
J1852-2610,0.336337132,8.7706e-17,2.26
J1853-0004,0.101435746,5.5745e-15,6.58
J1853+0011,0.397881894,3.3538e-14,7.48
J1853+0056,0.2755776,2.1390e-14,3.82
J1853+0505,0.905137354,1.2806e-15,7.54
J1853+0545,0.126400333,6.1248e-16,4.77
J1853-0649,1.04813211,1.5480e-15,1.89
J1853+0853,3.91465792,5.1300e-15,7.54
J1853+1303,0.00409179738,8.7163e-21,1.60
J1854+0306,4.5578201,1.4513e-13,4.11
J1854+0317,1.36644965,1.8500e-15,7.95
J1854+1050,0.573196989,6.3887e-16,8.27
J1854-1421,1.14659485,4.1612e-15,5.23
J1854-1557,3.4532,4.5200e-15,11.75
J1855+0205,0.24681677,6.4660e-17,16.48
J1855+0307,0.845347575,1.8110e-14,7.45
J1855+0422,1.67810633,9.3000e-16,9.85
J1855+0527,1.39348448,2.6721e-13,9.70
J1855+0700,0.258684648,7.5160e-16,6.84
J1855-0941,0.34540116,2.4000e-16,4.87
J1856+0102,0.620217115,1.2220e-15,8.61
J1856+0113,0.26743961,2.0836e-13,3.30
J1856+0245,0.0809066891,6.2117e-14,10.29
J1856+0404,0.420252155,3.7000e-17,6.98
J1856-0526,0.370483417,1.6975e-15,3.45
J1856-3754,7.05520287,2.9800e-14,0.16
J1857+0057,0.356928998,5.4590e-17,2.63
J1857+0143,0.139760065,3.1167e-14,5.18
J1857+0210,0.630983058,1.4034e-14,15.01
J1857+0212,0.415823055,4.0272e-14,8.00
J1857+0526,0.349951178,6.9311e-15,11.44
J1857+0809,0.502923871,4.7374e-15,8.72
J1857+0943,0.00536210055,1.7838e-20,0.70
J1857-1027,3.68721905,1.0550e-14,3.64
J1858+0215,0.745828032,4.6100e-15,12.46
J1858+0241,4.69323293,2.4320e-14,6.46
J1858+0346,0.256843798,2.0401e-15,7.28
J1858-0736,0.551058591,5.0600e-15,7.20
J1859+0601,1.0443127,2.5510e-14,5.98
J1859+1526,0.933971582,3.9255e-15,4.76
J1900-0051,0.385194095,1.4210e-16,3.30
J1900+0227,0.374261575,5.7050e-15,4.32
J1900+0308,0.00490923902,5.9000e-21,5.27
J1900+0634,0.389869101,5.1250e-15,7.31
J1900-2600,0.612209204,2.0453e-16,0.70
J1900-7951,1.27919319,1.8600e-15,3.87
J1901+0124,0.318817259,3.2410e-15,7.20
J1901+0156,0.288219159,2.3575e-15,2.96
J1901+0254,1.29969345,4.6000e-16,3.95
J1901+0300,0.00779677626,4.5710e-20,5.50
J1901-0312,0.355725187,2.2920e-15,2.89
J1901-0315,0.801693097,2.5700e-15,6.95
J1901+0320,0.636584478,5.2000e-16,7.74
J1901+0331,0.655450239,7.4593e-15,7.00
J1901+0355,0.554756465,1.2741e-14,10.18
J1901+0413,2.66307968,1.3160e-13,6.91
J1901+0435,0.690576358,8.6700e-15,30.00
J1901+0510,0.614756694,3.1100e-14,8.47
J1901+0621,0.832001949,1.8000e-17,3.11
J1901+0716,0.643998664,2.2872e-15,3.40
J1901-0906,1.78192776,1.6383e-15,2.42
J1901+1306,1.83085745,1.3100e-16,3.53
J1901-1740,1.95685759,8.2300e-16,1.27
J1902+0248,1.22377745,2.4100e-15,6.09
J1902-0340,1.52467211,2.0000e-15,3.13
