pulsar,P_s,Pponto_s_por_s,distancia_kpc
J1012-5830,2.13359121,3.7650e-14,5.34
J1012-5857,0.819911496,1.7690e-14,10.14
J1013-5934,0.442900631,5.5800e-16,11.32
J1015-5719,0.139881678,5.7368e-14,4.87
J1016-5345,0.769583527,1.9260e-15,2.50
J1016-5819,0.0878341561,6.9800e-16,4.62
J1016-5857,0.107386458,8.0834e-14,9.31
J1017-5621,0.503458815,3.1300e-15,11.78
J1017-7156,0.00233851444,2.2194e-21,0.26
J1018-1642,1.80469495,1.7422e-15,3.27
J1019-5749,0.16249871,2.0077e-14,30.00
J1020-5921,1.23830534,4.0470e-14,2.62
J1020-6026,0.14047991,6.7386e-15,29.58
J1021-5601,0.670026298,5.3000e-17,4.18
J1022+1001,0.01645293,4.3338e-20,0.74
J1022-5813,1.643726,1.4540e-13,30.00
J1023+0038,0.00168798744,1.2000e-20,1.37
J1023-5746,0.111472434,3.8375e-13,
J1024-0719,0.00516220464,1.8527e-20,1.10
J1028-5819,0.0914032309,1.6100e-14,2.76
J1031-6117,0.306410837,1.7840e-15,30.00
J1032-5206,2.40762231,1.7891e-14,4.33
J1032-5911,0.46420801,3.0000e-15,7.26
J1034-3224,1.15059043,2.3046e-16,4.68
J1035-6345,0.579576736,3.5040e-16,6.54
J1036-4926,0.510368133,1.6484e-15,8.71
J1036-6559,0.533501886,1.3620e-15,7.86
J1038+0032,0.028851558,6.7000e-20,2.36
J1038-5831,0.661992094,1.2512e-15,2.43
J1041-1942,1.38636807,9.4485e-16,3.18
J1042-5521,1.17085908,6.7330e-15,6.98
J1043-6116,0.288601695,1.0404e-14,18.20
J1044-5737,0.139028891,5.4628e-14,
J1045-4509,0.00747422423,1.7662e-20,0.34
J1046+0304,0.326271446,1.2420e-16,2.25
J1046-5813,0.369426696,1.1440e-15,4.80
J1047-3032,0.330328052,6.1006e-17,4.14
J1047-6709,0.198451451,1.6871e-15,4.67
J1048-5832,0.123670658,9.6319e-14,2.90
J1049-5833,2.20232508,4.4100e-15,9.73
J1050-5953,6.4520766,3.8090e-11,9.00
J1052-5954,0.180591501,1.9983e-14,13.55
J1052-6348,0.383830424,3.8700e-16,5.27
J1054-5943,0.346908958,4.0740e-15,6.81
J1054-5946,0.22832425,2.0900e-16,5.81
J1054-6452,1.84000354,3.1400e-15,13.53
J1055-6022,0.947558409,9.2390e-14,25.63
J1055-6028,0.0996608335,2.9532e-14,30.00
J1055-6236,0.448635442,7.0800e-16,3.64
J1055-6905,2.91939699,2.0336e-14,11.91
J1056-5709,0.676081894,5.7600e-16,17.61
J1056-6258,0.422447189,3.5757e-15,2.40
J1056-7117,0.026309677,6.3000e-20,5.27
J1057-4754,0.628305879,2.2480e-16,3.03
J1057-5226,0.197107608,5.8335e-15,1.53
J1057-7914,1.34740216,1.3270e-15,3.46
J1058-5957,0.616270272,6.5700e-16,7.11
J1059-5742,1.18499893,4.3000e-15,2.75
J1101-6101,0.062800077,8.6000e-15,7.00
J1101-6424,0.0051092729,1.8000e-21,7.86
J1103-5403,0.00339270966,3.7000e-21,3.16
J1103-6025,0.396586749,9.9040e-16,6.83
J1104-6103,0.280905302,1.9667e-15,2.31
J1105-6107,0.0631929415,1.5827e-14,7.07
J1106-6438,2.71793414,2.3300e-15,7.88
J1107-5907,0.252773323,9.0000e-18,1.81
J1107-5947,1.51653097,3.4000e-16,3.52
J1107-6143,1.79939567,1.5580e-13,13.72
J1110-5637,0.558252726,2.0640e-15,9.18
J1112-6103,0.0649618519,3.1460e-14,30.00
J1112-6613,0.33421284,8.2400e-16,19.31
J1112-6926,0.820484204,2.8410e-15,12.32
J1114-6100,0.880819625,4.6088e-14,30.00
J1115+5030,1.65643976,2.4928e-15,0.51
J1115-6052,0.25977666,7.2350e-15,6.76
J1116-4122,0.943157883,7.9536e-15,2.68
J1117-6154,0.505097149,1.2510e-14,22.38
J1117-6447,1.15527196,2.4000e-16,27.12
J1119-6127,0.407962984,4.0202e-12,8.40
J1119-7936,2.2805972,3.6700e-15,1.52
J1121-5444,0.535783131,2.7669e-15,15.43
J1123-4844,0.244838478,6.5400e-17,8.74
J1123-6102,0.640233748,6.4600e-15,14.75
J1123-6259,0.271434052,5.2531e-15,7.54
J1123-6651,0.232976433,2.7500e-15,3.48
J1124-5638,0.185559973,9.0000e-18,23.74
J1124-5916,0.135476854,7.5257e-13,5.00
J1124-6421,0.479098585,6.2000e-16,14.90
J1125-5825,0.00310221392,6.0899e-20,2.98
J1125-6014,0.00263038074,4.0100e-21,1.94
J1126-6054,0.202736912,2.8128e-16,8.05
J1126-6942,0.579416438,3.3020e-15,2.07
J1128-6219,0.515983511,1.1000e-17,30.00
J1130-5826,0.162323476,1.5890e-17,9.45
J1130-5925,0.680983832,9.5200e-16,8.28
J1130-6807,0.256352799,4.5968e-16,7.14
J1132-5627,0.175166247,6.8000e-17,21.30
J1133-6250,1.02287514,4.5200e-16,30.00
J1135-6055,0.114943,7.9300e-14,
J1136+1551,1.18791307,3.7338e-15,0.35
J1136-5525,0.364705576,8.2151e-15,2.60
J1137-6700,0.556216056,7.1700e-17,19.53
J1138-6207,0.117563794,1.2478e-14,24.50
J1141-3107,0.538431789,1.9602e-15,2.72
J1141-3322,0.291467537,4.6346e-16,3.84
J1141-6545,0.393898815,4.3074e-15,3.00
J1142-6230,0.558383386,7.8000e-17,10.81
J1143-5158,0.675646047,6.9530e-16,10.68
J1143-5536,0.685358486,4.8500e-16,11.44
J1144-6217,0.850664943,3.0835e-14,8.88
J1146-6030,0.27337243,1.7941e-15,2.59
J1148-5725,3.55993723,1.1100e-14,6.99
J1148-6415,3.2410285,2.7000e-15,9.07
J1151-6108,0.101633196,1.0278e-14,7.65
J1152-5800,1.78982947,1.3000e-15,7.87
J1152-6012,0.376569566,6.6850e-15,2.09
J1154-6250,0.282011711,5.5900e-16,2.06
J1156-5707,0.28840942,2.6451e-14,20.40
J1156-5909,1.03793105,1.0200e-15,8.76
J1157-5112,0.0435892271,1.4300e-19,1.88
J1157-6224,0.400522048,3.9313e-15,4.00
J1159-6409,0.667485534,2.4000e-17,6.03
J1159-7910,0.525074239,2.8170e-15,4.36
J1201-6306,0.592136029,3.5550e-15,30.00
J1202-5820,0.452800508,2.1265e-15,4.94
J1204-6843,0.308860862,2.1708e-16,5.66
J1210-5226,0.424130749,2.2240e-17,2.60
J1210-5559,0.279767331,7.2585e-16,11.65
J1210-6550,4.23701022,4.3000e-16,1.58
J1211-6324,0.433083926,2.5700e-16,12.30
J1214-5830,0.909822701,5.3400e-17,4.83
J1215-5328,0.636414137,1.1500e-16,11.24
J1216-6223,0.374046786,1.6819e-14,30.00
J1216-6410,0.00353937566,1.6200e-21,1.71
J1220-6318,0.789212012,8.0000e-17,13.96
J1222-5738,1.08116353,1.5000e-16,2.12
J1224-6208,0.585761208,2.0196e-14,23.64
J1224-6407,0.216476203,4.9533e-15,4.00
J1225-5556,1.01845287,2.0634e-15,5.39
J1225-6035,0.626323942,2.8800e-16,6.19
J1225-6408,0.419617792,9.4600e-16,24.60
J1227-4853,0.00168637541,1.1100e-20,2.00
J1227-6208,0.0345278346,1.8740e-19,15.82
J1231-1411,0.00368387871,2.2800e-20,0.45
J1231-4609,0.877239078,3.8000e-17,6.16
J1231-6303,1.3512363,1.4000e-15,12.12
J1232-4742,1.87299438,1.4000e-17,1.40
J1232-6501,0.0882819082,8.1000e-19,10.00
