planeta,M_Mterra,erro_M,R_Rterra,erro_R
HIP 8152 c,10.7000,2.1000,2.5244,0.1496
HATS-29 b,207.5430,20.0233,14.0225,0.6837
TOI-3474 b,193.8753,44.4960,14.6726,0.3699
WASP-129 b,317.8300,31.7830,10.4244,0.3363
WASP-33 b,665.2182,44.1784,17.8559,0.8295
HAT-P-23 b,664.2370,35.2780,15.3340,1.0090
WASP-120 b,1541.4755,66.7443,15.5805,0.8967
HD 118203 b,680.1528,38.1394,12.7782,0.3251
HATS-4 b,420.4710,8.8990,11.4330,0.4150
TOI-238 c,6.7000,1.1000,2.1800,0.1800
KOI-13 b,2949.4624,50.8528,16.9480,0.3923
TOI-512 b,3.5700,0.5300,1.5400,0.1000
TOI-5688 A b,124.0000,23.4000,10.3000,0.6000
WASP-92 b,255.8531,21.6124,16.3763,0.8631
TOI-201 b,164.0000,5.0000,11.4000,0.1000
WASP-16 b,394.1092,79.4575,13.6750,1.1209
TOI-1181 b,374.7197,7.3101,17.0264,0.6613
TOI-1853 b,73.2000,2.7000,3.4600,0.0800
HD 209458 b,232.0159,12.7132,15.5805,0.2242
TOI-2989 b,953.4852,63.5657,12.5541,0.5604
Kepler-424 b,327.3500,41.3200,9.9800,0.9000
TOI-163 b,387.7526,38.1396,16.6902,0.3811
TOI-431 b,3.0700,0.3500,1.2800,0.0400
WASP-102 b,197.6893,42.2712,14.9079,0.5604
WASP-186 b,1341.2426,57.2094,12.4420,0.3363
WASP-118 b,163.3646,6.3566,16.1410,0.4035
K2-107 b,266.9772,25.4264,15.9800,0.5500
TOI-1450 A b,1.2580,0.1280,1.1300,0.0430
V1298 Tau d,6.0000,0.7000,6.5300,0.4200
LHS 1140 b,5.6000,0.1900,1.7300,0.0250
Kepler-177 b,5.8400,0.8600,3.5000,0.1900
HAT-P-36 b,587.4134,27.6512,14.3139,0.2242
HAT-P-12 b,67.0590,3.8140,10.7490,0.3250
GJ 3473 b,1.8600,0.3000,1.2640,0.0500
TOI-216.01,177.9839,6.3566,10.1000,0.2000
TOI-1823 b,67.4000,8.1000,7.5406,0.3319
WASP-81 b,231.6981,11.4419,16.0177,0.5717
TOI-2134 b,9.3700,0.5400,2.7350,0.0680
TOI-2076 c,7.2000,1.4000,3.5400,0.1400
HIP 97166 b,19.1000,1.6000,2.4801,0.0727
TOI-558 b,1147.3605,47.6743,12.1730,0.4596
KOI-94 d,106.0000,11.0000,11.2700,1.0600
HD 23472 b,8.3200,0.7800,2.0000,0.1100
K2-108 b,59.4000,4.4000,5.3300,0.2100
CoRoT-27 b,3302.1100,174.8000,11.2870,0.4930
WASP-164 b,676.9779,38.1396,12.6438,0.4596
HD 5278 b,7.8000,1.5000,2.4500,0.0500
K2-237 b,434.1536,34.9611,16.0625,0.6277
WASP-156 b,42.0000,2.0000,6.1500,0.1200
TOI-5322 b,184.0226,25.7441,16.6117,0.3475
TOI-2328 b,50.8525,6.3566,9.9760,0.3363
TOI-2152 A b,899.4544,120.7748,14.3587,0.5604
TOI-2524 b,203.4102,12.7131,11.2090,0.2242
