planeta,M_Mterra,erro_M,R_Rterra,erro_R
TOI-763 b,9.7900,0.7800,2.2800,0.1100
HATS-14 b,340.3959,22.2481,11.6462,0.3587
Wolf 327 b,2.5300,0.4600,1.2400,0.0600
Kepler-21 b,7.5000,1.3000,1.6390,0.0190
Kepler-36 b,3.8300,0.1100,1.4980,0.0610
TOI-1246 b,8.1000,1.1000,3.0100,0.0600
Kepler-167 e,321.0067,50.8525,10.1600,0.4200
TOI-3837 b,187.5188,15.8914,10.8727,0.5604
WASP-59 b,274.2760,14.3020,8.6870,0.7620
KELT-14 b,408.0937,10.1706,19.5373,0.5268
TOI-1266 c,3.1700,0.7600,1.9800,0.1000
TOI-4734 b,61.6587,10.4883,10.9175,0.2802
TOI-2842 b,117.5965,16.5271,12.8455,0.5717
TOI-836 b,4.5300,0.9200,1.7040,0.0670
Kepler-30 c,640.0000,50.0000,12.3000,0.4000
TOI-2886 b,444.9598,73.1005,18.6405,0.4596
Kepler-11 e,8.0000,1.5000,4.1900,0.0700
WASP-170 b,508.5280,63.5660,12.2851,0.9528
HATS-9 b,266.0237,9.2171,13.8500,0.3500
HATS-61 b,1080.6220,44.4962,13.3948,0.7510
HD 15337 c,6.7920,1.3020,2.5260,0.0860
WASP-132 b,136.0306,4.7674,10.0993,0.4259
WASP-141 b,854.9627,47.6745,13.5629,0.8967
TrES-2 b,473.5667,69.9226,15.2442,0.8967
Kepler-30 b,11.3000,1.4000,3.9000,0.2000
NGTS-31 b,355.9678,38.1394,18.0465,1.7934
TOI-3984 A b,44.0000,8.7000,7.9000,0.2400
TOI-2525 c,208.8133,9.8527,10.1329,0.1121
TOI-1248 b,27.4000,3.6000,6.8085,0.1167
WASP-110 b,154.7824,16.5271,13.1930,0.3139
TIC 52059926 b,5380.0000,390.0000,10.7100,0.5200
TOI-3364 b,530.7734,38.1394,12.2290,0.4259
HATS-53 b,189.1088,28.2869,15.0201,0.6277
TOI-5422 b,8899.1954,508.5255,9.1017,0.3475
Kepler-289 c,157.1800,7.0400,11.2300,0.2100
WASP-161 b,791.3967,66.7443,12.8119,0.7286
TOI-1824 b,16.0000,2.6000,2.7438,0.0867
TOI-2322 c,18.1000,4.3400,1.8740,0.0660
HD 235088 b,4.1500,0.8300,1.9820,0.0720
Kepler-18 c,17.3000,1.9000,5.4900,0.2600
TOI-270 c,6.2000,0.3100,2.3300,0.0100
Kepler-412 b,299.0780,39.7287,15.0313,0.4932
TOI-2158 b,260.6193,25.4263,10.7606,0.1345
CoRoT-8 b,69.9200,9.5300,6.3900,0.2200
HAT-P-32 b,216.1244,34.9613,22.1938,0.5044
HAT-P-16 b,1341.5604,29.2404,14.6838,0.6725
TOI-3688 A b,311.4718,31.7828,13.0809,0.5380
TOI-5398 b,58.7000,5.7000,10.3000,0.4000
TOI-640 b,181.1622,6.3566,19.2794,0.5604
HATS-54 b,239.3248,18.1162,11.3771,0.2690
WASP-159 b,174.8065,25.4264,15.4684,1.0088
TIC 9344899 b,6170.0000,610.0000,9.1600,0.4000
GJ 357 b,1.8300,0.3000,1.2000,0.0600
LHS 1903 d,5.9600,1.1500,2.5000,0.0780
K2-167 b,6.5000,1.6000,2.3651,0.2130
TOI-3819 b,352.7895,57.2091,13.1369,0.4035
HAT-P-19 b,88.0385,5.4031,11.2987,0.1569
TOI-1634 b,4.9000,1.0000,1.7590,0.0580
Kepler-82 b,12.1500,0.9600,4.0700,0.2400
TOI-5789 c,5.0000,0.5000,2.8600,0.1800
GJ 9827 c,1.8600,0.3700,1.1300,0.0700
Kepler-128 c,3.3800,0.6700,1.5210,0.0470
TOI-2580 b,200.2319,25.4263,17.3739,0.5604
LHS 1140 c,1.9100,0.0600,1.2720,0.0260
K2-222 b,7.5000,1.5000,2.2750,0.1000
TOI-2458 b,13.3100,0.9900,2.8300,0.2000
K2-146 b,5.7700,0.1800,2.0500,0.0600
TOI-5292 A b,412.8591,25.7441,12.6437,0.4372
WASP-7 b,305.1168,41.3179,14.9080,1.0424
TOI-1347 b,11.1000,1.2000,1.8000,0.1000
TOI-1173 b,27.4000,1.7000,9.1900,0.1800
HIP 41378 c,5.9700,0.5600,2.7400,0.0430
WASP-87 b,692.8694,47.6745,15.5245,0.6725
WASP-77 A b,529.3114,0.1430,13.5600,0.2200
HIP 9618 b,8.3000,1.7000,3.8284,0.1044
Kepler-68 b,8.0300,0.6700,2.3570,0.0230
TOI-178 f,5.6300,0.4500,2.4170,0.0410
WASP-82 b,371.8611,63.5660,18.1586,1.4572
NGTS-32 b,181.1622,15.8914,15.9168,0.3363
TOI-406 c,2.0800,0.2300,1.3200,0.1200
NGTS-25 b,203.0924,18.4340,11.4668,0.3923
TOI-2025 b,1144.1823,104.8834,11.8927,0.3699
TOI-2443 b,4.8000,1.1000,2.3630,0.0660
TOI-2384 b,624.8506,18.7519,11.4892,0.2354
TOI-4379 b,353.7430,22.5658,16.6902,0.8855
HATS-58 A b,327.3649,73.1009,12.2739,0.6950
TIC 241249530 b,1582.7855,50.8525,13.2939,0.4147
HAT-P-59 b,489.4557,21.2945,12.5877,0.1457
Kepler-849 b,298.7587,63.5657,8.0817,0.3026
Kepler-92 b,64.3000,13.9000,3.5100,0.1000
TOI-3071 b,68.2000,3.5000,7.1600,0.5700
Kepler-145 c,79.4000,16.4000,4.3200,0.1200
TOI-406.01,6.5700,1.0000,2.0800,0.1600
TIC 139270665 b,147.1546,14.6201,7.2298,0.2690
TOI-1201 b,6.2800,0.8400,2.4150,0.0910
TOI-421 b,6.7000,0.6000,2.6400,0.0800
TOI-125 b,9.5000,0.8800,2.7260,0.0750
TOI-559 b,1910.1487,76.2788,12.2290,0.3139
GJ 806 b,1.9000,0.1700,1.3310,0.0230
HATS-63 b,305.1168,38.1396,13.5293,0.4372
TOI-5795 b,23.6600,4.0900,5.6200,0.1100
TOI-1011 b,4.0400,0.5900,1.4500,0.0500
TOI-815 c,23.5000,2.4000,2.6200,0.1000
WASP-171 b,344.5277,29.8760,10.9848,0.7846
Kepler-80 c,6.7400,1.2300,2.7400,0.1200
HATS-49 b,112.1940,12.0775,8.5749,0.1457
KELT-12 b,301.9385,44.4962,19.9520,1.9055
TRAPPIST-1 h,0.3260,0.0200,0.7550,0.0140
TOI-431 d,9.9000,1.5300,3.2900,0.0900
TOI-3235 b,211.3559,7.9457,11.3995,0.4932
WASP-38 b,1093.3352,114.4188,13.7871,0.6725
LHS 1903 c,4.5500,0.7300,2.0460,0.0780
K2-216 b,8.0000,1.6000,1.7500,0.1700
WASP-104 b,404.2630,14.9370,12.7450,0.4150
TOI-762 A b,79.7749,13.3488,8.3395,0.1906
Kepler-78 b,1.6800,0.2700,1.2010,0.0280
TOI-1742 b,9.7000,1.9000,2.3651,0.0569
WASP-6 b,148.4259,7.6279,12.5428,0.1906
WASP-189 b,632.4785,50.8525,18.1473,0.2354
TOI-1295 b,451.3163,25.4263,15.6926,0.8967
NGTS-15 b,238.6891,32.4185,12.3299,1.1209
TOI-2184 b,206.5885,50.8525,11.3995,0.5717
TOI-2018 b,9.2000,2.1000,2.2680,0.0690
TOI-669 b,10.0000,1.4000,2.5861,0.1304
WASP-184 b,181.1631,31.7830,14.9080,1.0088
WASP-25 b,179.2552,8.2635,13.8095,0.1569
Kepler-105 c,5.6000,1.2000,1.4400,0.0400
TOI-199 b,54.0308,6.3566,9.0793,0.0560
TOI-2421 b,105.8369,25.1084,10.3683,0.3923
TOI-7510 b,18.1000,1.7000,7.3100,0.2300
HATS-17 b,425.2565,20.6590,8.7094,0.6277
HD 77946 b,10.9000,1.8000,2.8965,0.1868
LHS 1478 b,2.3300,0.2000,1.2420,0.0510
TOI-2147 b,116.0000,22.0000,10.5000,0.3000
Kepler-94 b,10.8400,1.4000,3.5100,0.1500
TRAPPIST-1 g,1.3210,0.0380,1.1290,0.0150
WASP-185 b,311.4734,19.0698,14.0113,0.8967
TOI-4336 A c,1.5500,0.1300,1.2510,0.0660
TOI-5261 b,3651.8484,136.6662,11.6013,0.4708
TOI-4504 c,1197.3232,57.5269,11.0969,0.5604
HD 149026 b,120.7754,19.0698,8.2947,0.2242
TOI-329 b,40.4000,3.8000,4.9406,0.2920
BD-14 3065 b,3932.0000,290.0000,21.5900,1.0500
Qatar-10 b,233.9229,28.6047,17.2955,0.4484
Kepler-29 c,4.5000,1.1000,2.3400,0.1200
HAT-P-5 b,311.4734,63.5660,13.5629,1.1209
K2-19 c,11.0000,0.5000,4.1000,0.2000
TOI-3160 A b,378.2158,50.8525,13.7646,0.5156
TOI-622 b,96.3020,21.9302,9.2362,0.3139
Kepler-16 b,105.8330,5.0850,8.4493,0.0291
LP 791-18 c,7.1600,0.6500,2.4880,0.0960
KELT-23 A b,298.1245,15.2558,14.8295,0.2802
WASP-89 b,1875.1970,127.1320,11.6574,0.4484
WASP-55 b,186.2474,10.4883,14.7286,0.2354
K2-329 b,82.6358,6.3566,8.6758,0.2914
TOI-2345 b,3.4900,0.8500,1.5040,0.0470
WASP-45 b,306.3881,18.4341,10.6037,0.6501
TOI-270 d,4.2000,0.1600,2.0000,0.0500
TOI-4860 b,86.7000,1.9000,8.7000,0.4000
WASP-42 b,167.4964,8.8992,12.5765,0.4372
HD 6061 b,10.0000,2.5000,2.4276,0.0990
TOI-5232 b,743.7185,50.8525,12.7782,0.5717
TOI-333 b,20.1000,2.4000,4.2600,0.1100
TOI-1516 b,1004.3378,38.1394,15.2442,0.3363
WASP-163 b,594.3421,66.7443,13.4732,1.0873
TOI-150.01,797.7533,38.1396,14.0673,0.2354
TOI-332 b,57.2000,1.6000,3.2000,0.1600
WASP-91 b,425.8922,25.4264,11.5453,0.4484
TOI-5301 b,1182.3217,117.5965,13.0921,0.8519
HD 183579 b,20.4000,2.6000,3.4900,0.0700
HD 219666 b,17.6000,1.2000,4.8980,0.0600
TOI-2046 b,731.0053,88.9920,16.1409,1.2330
KELT-17 b,416.3573,88.9924,17.0937,0.7286
HATS-33 b,378.8534,16.8450,13.7871,1.2554
Kepler-80 d,6.7500,0.6900,1.5300,0.0900
WASP-150 b,2688.8418,88.9924,11.9936,0.2690
TOI-2134 c,58.3000,1.9000,7.3500,0.1800
TOI-1994 b,7024.0078,826.3539,13.6750,0.9191
TOI-1842 b,89.4000,7.8000,12.3485,0.2792
TOI-1803 c,8.0000,1.0000,4.2900,0.0800
TOI-500 b,1.4200,0.1800,1.1660,0.0610
TOI-3693 b,324.1850,76.2788,12.5989,0.3251
Kepler-44 b,317.8200,31.7800,12.2200,0.7800
TOI-2346 b,394.1072,69.9222,16.1185,0.4820
Kepler-41 b,177.9800,25.4300,14.4600,0.2200
HAT-P-37 b,371.5280,32.7350,13.2040,0.8630
WASP-103 b,473.5470,27.9680,17.1270,0.8180
TOI-6564 b,222.1621,20.9767,16.3987,0.2130
TOI-1238 c,8.3200,1.9000,2.1100,0.1400
KELT-3 b,616.5902,104.8839,17.4860,1.2330
GJ 1252 b,1.3200,0.2800,1.1930,0.0740
TOI-2196 b,26.0000,1.3000,3.5100,0.1500
TOI-3023 b,197.0536,31.7828,16.4324,0.4820
TOI-1811 b,308.9292,24.1550,11.1417,0.2802
TIC 393818343 b,1379.3753,47.6743,12.1842,0.2578
TOI-733 b,5.7200,0.7000,1.9920,0.0850
TOI-469.01,9.1000,0.8200,3.4100,0.0460
TOI-3757 b,85.3000,8.8000,12.0000,0.4000
Kepler-87 b,324.2000,8.8000,13.4900,0.5500
TOI-815 b,7.6000,1.5000,2.9400,0.0500
KOI-3680 b,613.4119,60.3877,11.0969,0.6725
TOI-1231 b,15.4000,3.3000,3.6500,0.1600
HATS-36 b,1022.1413,19.7055,12.9200,0.3800
TOI-2154 b,292.4021,60.3874,16.2866,0.5941
TOI-4666 b,155.4181,21.2945,12.5316,0.3923
WASP-160 B b,88.3567,13.9845,12.2178,0.5268
TrES-3 b,607.0300,23.8360,14.9750,0.3470
K2-287 b,100.1165,8.5814,9.4940,0.1457
TOI-5027 b,642.0134,41.3177,10.7606,0.5604
WASP-138 b,387.7526,25.4264,12.2178,0.5605
WASP-148 b,91.2168,6.9922,8.4740,0.1457
TOI-5181 A b,330.5415,54.0308,13.3499,0.4484
WASP-178 b,527.5978,38.1396,20.2883,1.0088
TOI-4994 b,88.9920,11.7597,8.5412,0.3363
Kepler-60 c,3.8500,0.8100,1.9000,0.1500
CoRoT-20 b,1366.6690,63.5660,9.4156,0.4484
WASP-95 b,457.6752,88.9924,13.7871,1.0088
TOI-1243 b,7.7000,1.5000,2.3300,0.1200
HAT-P-68 b,230.1089,13.6667,12.0160,0.1345
L 98-59 d,1.6400,0.0700,1.6270,0.0410
HAT-P-58 b,118.2322,9.5349,14.9304,0.4820
L 168-9 b,4.0700,0.4500,1.6300,0.1400
NGTS-12 b,66.1086,6.9923,11.7470,0.3587
TOI-5005 b,32.7000,5.9000,6.2500,0.2400
WASP-21 b,95.3450,3.4960,11.9900,0.5600
HD 221416 b,60.5000,5.7000,9.1700,0.3400
HATS-57 b,1000.2110,23.2016,12.7671,0.3139
HATS-75 b,156.0537,12.3953,9.9087,0.1457
WASP-31 b,151.9160,9.2170,17.3630,0.5600
TOI-4336 A b,3.3300,0.3400,2.1370,0.0800
Kepler-43 b,1026.5909,82.6358,13.6638,0.7286
KOI-351 h,203.0000,16.0000,11.2520,0.3060
TOI-3331 A b,721.4705,50.8525,12.9800,0.4820
WASP-85 A b,402.0550,20.6590,13.8992,0.3363
LHS 1903 b,3.2800,0.4200,1.3820,0.0460
KELT-18 b,375.0394,34.9613,17.5981,0.4708
HD 152843 b,9.8200,1.7100,3.0500,0.1100
Kepler-80 b,6.9300,1.0500,2.6700,0.1000
HD 89345 b,34.9613,5.4031,7.3979,0.3139
TOI-2379 b,1830.6916,63.5657,11.7246,0.2578
K2-24 c,15.4000,1.9000,7.5000,0.3000
HAT-P-54 b,241.5508,10.1706,10.5813,0.3139
HD 3167 b,4.8440,0.2700,1.6010,0.0480
K2-141 b,4.9700,0.3500,1.5100,0.0500
TOI-3568 b,26.4000,1.0000,5.3000,0.2700
K2-280 b,37.1000,5.6000,7.5000,0.4400
TOI-5786 b,73.0000,9.0000,8.5400,0.1300
TRAPPIST-1 b,1.3740,0.0690,1.1160,0.0140
ZTF J1828+2308 b,6356.5681,317.8284,11.1305,0.2130
TOI-6029 b,519.6494,10.1705,14.3923,1.0985
K2-138 c,6.3100,1.1300,2.2990,0.1200
TOI-2570 b,260.6193,20.0232,13.6413,0.3923
NGTS-26 b,92.8059,20.6588,14.8855,0.6613
HD 106315 c,15.2000,3.7000,4.3500,0.2300
WASP-166 b,32.1008,1.5892,7.0617,0.3363
WASP-84 b,220.0000,18.0000,10.7200,0.2700
WASP-101 b,162.0933,25.4264,16.0289,1.0088
Kepler-49 b,9.7700,0.9400,2.5790,0.0870
CoRoT-2 b,1102.8200,69.9200,16.4320,0.4710
TOI-4010 c,20.3100,2.1300,5.9300,0.1100
TOI-4495 c,23.2000,4.4000,4.0300,0.2300
GJ 3470 b,13.9000,1.5000,4.5700,0.1800
Kepler-1514 b,1678.1424,69.9226,12.4196,0.2578
Kepler-20 c,11.1000,2.1000,2.8940,0.0360
TIC 4672985 b,4049.1339,321.0067,11.5004,0.7510
TOI-2015 b,9.2000,0.3200,3.3090,0.0130
HAT-P-53 b,471.6597,17.7985,14.7735,1.0200
TOI-2529 b,743.7185,62.6122,11.5453,0.5604
TOI-3862 b,53.7000,2.8000,5.5300,0.1800
K2-34 b,539.6753,19.3876,13.7500,0.5800
TOI-481 b,486.2799,9.5349,11.0969,0.1121
TOI-257 b,43.8603,7.3101,7.1625,0.1457
K2-111 b,5.3500,0.6800,1.8370,0.0760
TOI-544 b,2.8900,0.4800,2.0180,0.0760
TOI-763 c,9.3200,1.0200,2.6300,0.1200
Qatar-6 b,212.3104,20.9768,11.9040,0.7958
HATS-22 b,870.8542,34.9613,10.6822,0.5380
NGTS-6 b,425.5744,8.8992,14.8631,1.0873
TOI-663 b,4.4500,0.6300,2.2700,0.1000
CoRoT-9 b,266.9772,15.8915,11.9488,0.8407
HAT-P-35 b,335.6285,10.4884,14.9304,1.0985
HD 28109 c,9.2000,2.0000,4.1300,0.1600
WASP-20 b,98.8410,5.4030,15.4684,0.4484
WASP-182 b,47.0388,3.4961,9.5276,0.3363
EPIC 249893012 c,14.6700,1.8400,3.6700,0.1700
WASP-35 b,225.6593,31.7830,14.5717,0.7846
TOI-3629 b,82.6354,6.3566,8.2946,0.2242
HAT-P-61 b,335.9446,22.2480,10.0769,0.3026
TOI-2589 b,1112.3994,31.7828,12.1057,0.3363
NGTS-27 b,188.4722,30.1937,15.6477,0.4259
HD 137496 b,4.0400,0.5500,1.3100,0.0600
Kepler-49 c,8.3800,0.9200,2.4440,0.0830
K2-113 b,410.0007,41.3179,12.1400,0.3500
TOI-2107 b,263.7976,34.9611,13.5741,0.3923
TOI-3288 b,536.1765,36.2324,12.2402,0.3699
HATS-60 b,210.4035,17.4807,12.9240,0.5941
Wolf 503 b,6.2600,0.6900,2.0430,0.0690
TOI-1075 b,9.9500,1.3600,1.7910,0.1160
TOI-672 b,50.9000,4.5000,5.3100,0.2400
Kepler-79 e,3.8000,0.7000,3.5300,0.1600
TOI-1130 b,19.8000,0.2000,3.6600,0.0300
TOI-1268 b,96.4000,8.2000,9.1000,0.6000
TOI-1246 c,9.1000,1.3000,2.4511,0.1382
K2-27 b,30.2000,3.5000,4.7400,0.1300
TOI-677 b,392.2003,26.6976,13.1145,0.3251
WASP-75 b,340.0600,15.8900,14.2350,0.5380
TOI-6884 b,8365.2437,311.4718,10.3907,0.5717
Kepler-423 b,189.1010,25.7430,13.3610,0.5830
Kepler-65 d,4.1400,0.7900,1.5200,0.0400
WASP-47 e,9.0000,0.6000,1.8300,0.0200
HAT-P-65 b,176.0769,29.2402,18.0577,0.2690
TOI-1203.01,7.3900,0.6200,2.9180,0.0460
HD 28109 d,5.8000,0.9000,3.1100,0.1500
TOI-4034 b,276.5107,50.8525,17.7102,0.2242
HAT-P-4 b,213.2550,10.4880,14.2800,0.5490
Kepler-411 c,26.4000,5.9000,4.4210,0.0620
KELT-10 b,215.8066,12.3954,15.6814,0.7734
WASP-57 b,204.6825,19.7055,11.7695,0.5941
TOI-6383 A b,331.0000,30.0000,11.2900,0.4100
Kepler-6 b,212.3104,12.0775,14.6165,0.2018
HATS-13 b,172.5817,22.8838,13.5853,0.3923
TOI-5300 b,190.6970,31.7828,9.8639,0.8967
XO-4 b,451.3186,60.3877,14.0113,0.8967
Kepler-426 b,108.0600,25.4300,12.2200,0.3400
NGTS-33 b,1153.7171,85.8137,18.3827,0.7846
KELT-8 b,209.7678,38.1396,18.1586,1.1209
K2-110 b,15.9000,2.7000,2.5920,0.0980
TOI-1470 b,7.3200,1.2100,2.1800,0.0400
TOI-2207 b,203.4102,31.7828,11.1529,0.3139
K2-3 b,5.1100,0.6500,2.0780,0.0760
WASP-139 b,37.1861,5.4031,8.9672,0.5605
HAT-P-14 b,1093.3352,200.2329,15.9168,1.3451
NGTS-23 b,194.8288,30.8294,14.2018,0.3363
WASP-93 b,467.2101,92.1707,17.9008,0.8631
TOI-198 b,3.1700,0.6400,1.3600,0.1300
TOI-561 b,2.0200,0.2300,1.3970,0.0270
WASP-188 b,458.6264,94.0772,14.8183,0.5717
WASP-97 b,432.2488,60.3877,12.7783,0.6725
TOI-2992 b,1058.3686,123.9531,13.7534,0.5044
TOI-4201 b,788.2144,28.6046,13.6750,0.4484
TOI-615 b,138.2554,27.3332,18.9768,0.5829
WASP-99 b,772.3269,117.5971,11.4332,0.6725
TOI-628 b,2011.8639,92.1707,11.8815,0.4596
MASCARA-4 b,532.3626,76.5966,16.9816,0.4932
NGTS-24 b,165.2708,38.1394,13.6077,0.6501
Qatar-8 b,117.9149,19.7055,14.4036,0.2466
TOI-159 b,1110.0000,79.0000,18.1800,0.1600
TOI-6628 b,235.1930,19.0697,10.9848,0.6725
TOI-2093 c,15.8000,3.6000,2.3000,0.1200
Kepler-33 f,9.6000,1.7000,4.4600,0.4100
TOI-1266 b,4.4600,0.6900,2.5200,0.0800
TOI-1836 b,38.4572,9.2170,8.0032,0.3475
WASP-127 b,52.3466,6.8016,14.6950,0.2802
WASP-121 b,371.8592,13.6666,19.5260,0.0673
KELT-4 A b,286.6827,19.0698,19.0441,0.5156
TOI-2169 A b,329.5881,24.4728,12.5092,0.4147
TOI-2019 b,34.4000,4.4000,5.3328,0.2637
Kepler-24 b,11.1400,2.2500,2.3480,0.0920
Kepler-24 c,9.9900,2.0100,2.5140,0.0980
WASP-135 b,603.8770,25.4264,14.5717,1.0088
HATS-15 b,689.6911,47.6745,12.3859,0.4484
KELT-1 b,8654.1500,158.9080,12.4420,0.3587
K2-260 b,546.6649,108.0617,18.4164,0.6501
WASP-144 b,139.8452,19.0698,9.5276,0.5605
HATS-70 b,4100.0070,572.0940,15.5133,0.8855
NGTS-35 b,152.0000,22.0000,10.9000,0.6500
TOI-1728 b,26.7800,5.4300,5.0500,0.1600
TOI-6038 A b,78.5000,9.5000,6.4100,0.2000
WASP-52 b,146.2000,6.3600,14.2400,0.3400
LP 791-18 d,0.9100,0.1900,1.0320,0.0440
TIC 257060897 b,201.5032,13.0310,17.2618,0.4820
K2-29 b,232.0159,12.7132,13.3387,0.2242
OGLE-TR-56 b,441.7700,57.2100,15.2780,1.0310
HAT-P-28 b,198.9530,11.7590,13.5850,1.2670
Kepler-4 b,24.4720,3.8140,4.0020,0.2130
WASP-56 b,143.0235,28.6047,10.5365,1.0088
TOI-5007 b,211.0381,13.6666,11.0745,0.3475
GPX-1 b,6261.2196,508.5255,16.4772,1.1209
EPIC 249893012 b,8.7500,1.0900,1.9500,0.0900
Kepler-161 c,3.6100,0.7800,2.0500,0.1500
Kepler-553 c,2129.4503,139.8445,11.5789,0.3587
TOI-269 b,8.8000,1.4000,2.7700,0.1200
K2-115 b,321.0067,69.9222,11.8031,0.3363
TOI-5542 b,419.5335,31.7828,11.3099,0.4035
TOI-5573 b,112.0000,18.0000,9.7500,0.4700
WASP-1 b,271.4150,18.1160,16.6230,0.2690
K2-138 d,7.9200,1.3900,2.3900,0.1040
WASP-41 b,270.1555,34.9613,12.3299,0.5605
TOI-1136 d,8.3500,1.8000,4.6270,0.0770
TOI-1803 b,10.3200,1.6600,2.9900,0.0800
TOI-2485 b,766.6021,27.9689,12.1393,0.5044
HATS-28 b,213.5818,27.6512,13.3835,0.7846
WASP-192 b,731.0090,50.8528,13.7871,0.8967
HR 858 d,7.1000,1.6000,2.0010,0.0630
TOI-270 b,1.4800,0.1800,1.2800,0.0500
HATS-74 A b,464.0295,44.4960,11.5677,0.2354
HD 189733 b,359.1479,25.4264,12.6662,0.1121
HD 114082 b,2542.6273,317.8284,11.2090,0.3363
WASP-133 b,368.6828,28.6047,13.5629,0.5605
HAT-P-1 b,166.8607,6.0388,14.7847,0.2130
TIC 46432937 b,1017.0509,34.9611,13.3163,0.3363
TIC 87422071 b,409.9986,31.7828,10.8615,0.9752
LP 714-47 b,30.8000,1.5000,4.7000,0.3000
Kepler-74 b,200.2200,38.1400,10.7600,0.2200
Kepler-87 c,6.4000,0.8000,6.1400,0.2900
Kepler-80 e,4.1300,0.8100,1.6000,0.0800
WASP-23 b,280.9500,27.9680,10.7830,0.5270
HD 332231 b,74.1000,5.6000,9.0730,0.1872
TOI-1199 b,75.9610,6.3566,10.5140,0.2802
TOI-4961 b,572.0911,66.7440,12.3411,0.4596
Kepler-75 b,3209.9000,127.1000,11.7700,0.3400
HAT-P-3 b,206.5895,34.9613,10.5365,0.7846
HATS-55 b,292.7214,24.1551,14.0225,0.2914
TOI-4515 b,637.0000,17.0000,12.1700,0.4300
Ross 176 b,4.5700,0.8900,1.8400,0.0800
TOI-1775 b,96.0000,15.0000,8.0473,0.1434
HAT-P-18 b,62.6100,4.1320,11.1530,0.5830
K2-285 b,9.6800,1.2100,2.5900,0.0600
HD 35843 c,11.3200,1.5800,2.5400,0.0800
HATS-68 b,410.0007,18.7520,13.8095,0.4372
TOI-157 b,375.0394,41.3179,14.4148,0.2578
K2-114 b,638.8351,38.1394,10.5925,0.3251
Kepler-100 b,4.0100,0.4700,1.3400,0.1200
CoRoT-19 b,352.7800,19.0700,14.4600,0.3400
WASP-69 b,82.5800,5.3700,11.2100,0.2200
WASP-173 A b,1172.7927,57.2094,13.4508,0.6725
TOI-4010 b,11.0000,1.2900,3.0200,0.0800
TOI-1416 b,3.4800,0.4700,1.6200,0.0800
Kepler-538 b,12.9000,2.9000,2.2150,0.0400
HAT-P-62 b,241.8674,27.9689,12.0272,0.3251
TOI-530 b,127.1314,28.6046,9.3035,0.6725
WASP-175 b,314.6517,41.3179,13.5405,0.9079
HD 95338 b,42.9000,2.2000,4.2717,0.0392
HD 63935 b,10.5000,1.6000,2.9158,0.0930
HATS-76 b,835.5709,28.2867,12.0945,0.3475
WASP-176 b,271.7446,22.8838,16.8695,0.5605
WASP-65 b,492.6200,50.8500,12.4640,0.6610
HD 2685 b,371.8611,38.1396,16.1410,0.5605
WASP-117 b,95.3490,15.8915,11.8815,0.7846
Kepler-12 b,137.3026,16.8450,19.6606,0.3475
Gaia-1 b,533.9517,34.9611,13.7758,0.2354
TOI-2109 b,1595.4986,238.3713,15.0985,0.5268
LTT 3780 c,8.0400,0.5000,2.3900,0.1000
TOI-561 e,12.4000,1.4000,2.5170,0.0450
Kepler-643 b,321.0083,63.5660,10.1600,0.3500
XO-3 b,4217.5830,111.2399,14.7959,0.2802
TOI-5882 b,6995.4032,193.8753,11.4668,0.5044
NGTS-8 b,295.5819,12.7132,12.2178,0.3363
TOI-6420 b,2606.1929,114.4182,11.9376,0.7286
TOI-5076 b,16.1457,2.4791,3.4894,0.0998
HATS-52 b,711.9392,47.6745,15.4908,0.9640
LHS 3844 b,2.3700,0.2500,1.2860,0.0430
TOI-1601 b,387.0000,16.0000,14.1990,0.6486
HATS-48 A b,77.2327,6.9923,8.9672,0.1681
TOI-1694 b,28.2400,1.0500,5.2700,0.1100
HAT-P-44 b,111.8710,9.2170,13.9220,1.1880
Kepler-9 b,43.4000,1.6000,8.2900,0.5400
TOI-2180 b,875.6173,27.6511,11.3211,0.2466
K2-285 c,15.6800,2.2800,3.5300,0.0800
K2-291 b,6.4900,1.1600,1.5890,0.0950
TOI-169 b,251.4035,20.3411,12.1730,0.9079
Kepler-26 c,6.2000,0.6500,2.7200,0.1200
Kepler-10 b,3.2400,0.3200,1.4700,0.0300
K2-292 b,24.5000,4.4000,2.6300,0.1100
XO-2 N b,199.9151,5.4031,11.1305,0.1345
K2-229 b,2.5500,0.3800,1.0000,0.0200
TOI-5293 A b,170.4000,21.8000,11.9000,0.4000
K2-99 b,276.5107,6.3566,11.8815,0.1121
TOI-2040 b,248.2240,11.4418,10.3235,0.2578
Kepler-435 b,266.9700,47.6700,22.3100,2.0200
HAT-P-9 b,238.0547,20.3411,15.6141,0.7510
HD 136352 d,8.8200,0.9300,2.5620,0.0880
TOI-4153 b,365.5027,57.2091,16.1185,0.5044
HATS-39 b,200.2329,41.3179,17.5981,1.3451
TOI-532 b,61.5000,9.7000,5.8200,0.1900
Kepler-107 e,14.1000,3.3000,2.9030,0.0350
Kepler-57 b,25.0600,5.1600,3.1350,0.0900
WASP-70 A b,187.5120,6.9920,13.0470,0.8180
HD 86226 c,7.2500,1.1900,2.1600,0.0800
NGTS-39 b,466.2543,25.7441,12.1954,0.1345
HD 110113 b,4.5500,0.6200,2.0500,0.1200
TOI-3486 b,99.1625,18.1162,10.5701,0.3363
Kepler-60 d,4.1600,0.8400,1.9900,0.1600
WASP-14 b,2809.6172,444.9620,15.4684,0.8967
WASP-180 A b,286.0470,31.7830,13.8992,0.4484
